scientificName,clean_single_species_events
Crinia signifera,87536
Limnodynastes peronii,45042
Litoria fallax,17485
Litoria peronii,14867
Limnodynastes tasmaniensis,12669
Litoria caerulea,12397
Litoria ewingii,9345
Limnodynastes dumerilii,7720
Crinia glauerti,7179
Adelotus brevis,5489
Litoria quiritatus,4579
Litoria pyrina,4566
Litoria gracilenta,4393
Crinia parinsignifera,3917
Litoria moorei,3579
Litoria verreauxii,2334
Crinia georgiana,2155
Litoria infrafrenata,2154
Litoria adelaidensis,1980
Heleioporus eyrei,1970
Litoria rubella,1866
Pseudophryne australis,1699
Limnodynastes dorsalis,1674
Crinia insignifera,1624
Pseudophryne coriacea,1504
Litoria phyllochroa,1487
Litoria dentata,1423
Crinia tinnula,1291
Mixophyes fasciolatus,1260
Litoria latopalmata,1251
Litoria ridibunda,1180
Geocrinia leai,1124
Rhinella marina,1108
Limnodynastes convexiusculus,1081
Litoria nudidigitus,1077
Litoria chloris,964
Litoria nasuta,813
Geocrinia victoriana,807
Litoria xanthomera,771
Pseudophryne raveni,751
Litoria balatus,728
Platyplectrum ornatum,714
Crinia tasmaniensis,674
Crinia pseudinsignifera,667
Litoria calliscelis,637
Litoria tyleri,620
Litoria paraewingi,505
Limnodynastes grayi,461
Litoria inermis,449
Uperoleia laevigata,428
Uperoleia fusca,423
Papurana daemeli,411
Pseudophryne guentheri,376
Limnodynastes salmini,375
Limnodynastes fletcheri,359
Geocrinia sparsiflora,341
Cophixalus ornatus,337
Crinia remota,307
Mixophyes coggeri,303
Litoria spaldingi,288
Litoria bicolor,277
Cophixalus australis,268
Litoria barringtonensis,238
Litoria rothii,235
Crinia deserticola,210
Litoria jungguy,198
Neobatrachus sudellae,198
Litoria larisonans,195
Austrochaperina pluvialis,182
Geocrinia laevis,181
Litoria pearsoniana,178
Austrochaperina robusta,166
Litoria revelata,161
Metacrinia nichollsi,145
Uperoleia rugosa,135
Limnodynastes interioris,119
Pseudophryne semimarmorata,113
Litoria jervisiensis,112
Litoria freycineti,107
Litoria wilcoxii,107
Paracrinia haswelli,106
Litoria sibilus,104
Cyclorana australis,103
Austrochaperina fryi,101
Crinia bilingua,101
Uperoleia altissima,89
Uperoleia saxatilis,87
Uperoleia crassa,81
Litoria serrata,79
Heleioporus albopunctatus,76
Litoria cyclorhyncha,62
Mixophyes carbinensis,57
Myobatrachus gouldii,53
Cyclorana maini,51
Litoria nigrofrenata,48
Crinia subinsignifera,46
Austrochaperina gracilipes,44
Neobatrachus pictus,40
Neobatrachus kunapalari,39
Limnodynastes superciliaris,34
Uperoleia tyleri,31
Litoria citropa,30
Platyplectrum spenceri,30
Lechriodus fletcheri,29
Pseudophryne occidentalis,29
Austrochaperina adelphe,28
Crinia nimbus,26
Anstisia rosea,25
Heleioporus barycragus,25
Litoria lesueuri,24
Litoria microbelos,24
Litoria pallida,23
Cyclorana novaehollandiae,22
Litoria coplandi,22
Litoria watjulumensis,20
Uperoleia lithomoda,20
Uperoleia mimula,19
Uperoleia borealis,16
Uperoleia talpa,14
Litoria tornieri,13
Litoria bella,12
Notaden bennettii,12
Anstisia lutea,11
Neobatrachus sutor,11
Heleioporus psammophilus,10
Uperoleia russelli,10
Cyclorana cultripes,9
Crinia flindersensis,8
Cyclorana alboguttata,8
Litoria meiriana,8
Neobatrachus wilsmorei,8
Uperoleia littlejohni,8
Cyclorana longipes,7
Mixophyes schevilli,7
Neobatrachus aquilonius,7
Litoria cavernicola,6
Notaden nichollsi,5
Uperoleia mjobergii,5
Limnodynastes lignarius,4
Litoria electrica,4
Litoria gilleni,4
Arenophryne xiphorhyncha,3
Crinia riparia,3
Cyclorana maculosa,3
Cyclorana platycephala,3
Litoria aurifera,3
Litoria splendida,3
Heleioporus inornatus,2
Litoria staccato,2
Cyclorana brevipes,1
Cyclorana occidentalis,1
Litoria eucnemis,1
Neobatrachus albipes,1
Neobatrachus pelobatoides,1
Notaden melanoscaphus,1
Uperoleia trachyderma,1
