scientificName,occurrence_rows
Crinia signifera,183602
Limnodynastes peronii,111212
Litoria fallax,68399
Litoria peronii,66845
Limnodynastes tasmaniensis,62347
Crinia parinsignifera,35574
Limnodynastes dumerilii,33096
Litoria ewingii,29742
Litoria caerulea,28749
Litoria verreauxii,24573
Crinia glauerti,19233
Adelotus brevis,18614
Litoria gracilenta,16835
Litoria pyrina,15748
Litoria tyleri,15346
Litoria latopalmata,13116
Litoria adelaidensis,11269
Crinia georgiana,9261
Uperoleia laevigata,9218
Uperoleia fusca,8912
Litoria quiritatus,8908
Rhinella marina,8219
Litoria moorei,7751
Mixophyes fasciolatus,7535
Litoria rubella,7371
Limnodynastes dorsalis,6623
Platyplectrum ornatum,6475
Litoria nasuta,6369
Litoria ridibunda,6175
Litoria phyllochroa,5627
Limnodynastes grayi,4934
Litoria dentata,4848
Limnodynastes convexiusculus,4767
Crinia insignifera,4184
Litoria bicolor,4110
Litoria inermis,3728
Litoria infrafrenata,3690
Litoria chloris,3042
Crinia remota,2879
Pseudophryne coriacea,2811
Geocrinia leai,2796
Heleioporus eyrei,2764
Crinia sloanei,2654
Litoria paraewingi,2592
Litoria nudidigitus,2576
Litoria balatus,2570
Uperoleia rugosa,2569
Cyclorana australis,2563
Limnodynastes fletcheri,2512
Crinia tinnula,2466
Pseudophryne australis,2445
Litoria rothii,2174
Crinia pseudinsignifera,1939
Litoria xanthomera,1911
Neobatrachus sudellae,1811
Litoria calliscelis,1762
Limnodynastes salmini,1732
Pseudophryne bibronii,1663
Paracrinia haswelli,1548
Pseudophryne raveni,1355
Uperoleia crassa,1296
Crinia deserticola,1239
Litoria barringtonensis,1210
Litoria revelata,1197
Geocrinia victoriana,1160
Litoria raniformis,1156
Crinia tasmaniensis,1067
Litoria wilcoxii,1058
Cophixalus ornatus,981
Litoria tornieri,979
Uperoleia altissima,943
Mixophyes coggeri,898
Litoria spaldingi,867
Pseudophryne guentheri,859
Litoria jervisiensis,854
Austrochaperina pluvialis,830
Uperoleia tyleri,752
Cyclorana alboguttata,749
Cyclorana novaehollandiae,715
Mixophyes iteratus,698
Limnodynastes interioris,692
Papurana daemeli,692
Litoria pallida,627
Pseudophryne major,577
Cophixalus australis,552
Assa darlingtoni,498
Cyclorana longipes,463
Austrochaperina robusta,461
Uperoleia lithomoda,432
Geocrinia sparsiflora,427
Litoria freycineti,415
Litoria pearsoniana,414
Notaden melanoscaphus,395
Cyclorana brevipes,372
Crinia subinsignifera,369
Litoria jungguy,366
Litoria brevipalmata,361
Litoria olongburensis,361
Limnodynastes superciliaris,333
Litoria citropa,321
Austrochaperina fryi,320
Uperoleia mimula,315
Litoria nigrofrenata,308
Litoria serrata,301
Cyclorana cultripes,300
Litoria aurea,299
Crinia bilingua,283
Litoria cooloolensis,278
Litoria rheocola,278
Litoria microbelos,275
Cyclorana platycephala,252
Geocrinia laevis,252
Litoria larisonans,241
Cyclorana maini,222
Notaden bennettii,220
Cophixalus aenigma,211
Uperoleia daviesae,202
Pseudophryne semimarmorata,199
Litoria lesueuri,192
Heleioporus albopunctatus,185
Pseudophryne dendyi,185
Philoria loveridgei,159
Metacrinia nichollsi,158
Litoria cyclorhyncha,154
Litoria sibilus,152
Neobatrachus pictus,145
Heleioporus australiacus,137
Mixophyes carbinensis,136
Austrochaperina gracilipes,128
Cyclorana verrucosa,126
Mixophyes balbus,108
Cophixalus infacetus,107
Litoria electrica,96
Uperoleia saxatilis,95
Neobatrachus kunapalari,88
Platyplectrum spenceri,87
Notaden nichollsi,84
Uperoleia borealis,82
Lechriodus fletcheri,73
Litoria daviesae,72
Philoria sphagnicola,72
Mixophyes fleayi,69
Uperoleia mahonyi,69
Uperoleia mjobergii,68
Anstisia rosea,65
Mixophyes australis,65
Litoria watjulumensis,64
Uperoleia talpa,64
Uperoleia littlejohni,59
Myobatrachus gouldii,58
Heleioporus barycragus,55
Litoria littlejohni,53
Austrochaperina adelphe,51
Uperoleia aspera,50
Litoria subglandulosa,46
Litoria bella,42
Litoria coplandi,42
Pseudophryne occidentalis,42
Neobatrachus sutor,41
Litoria dayi,40
Litoria watsoni,39
Philoria kundagungan,39
Cyclorana maculosa,38
Uperoleia martini,34
Crinia nimbus,26
Heleioporus psammophilus,26
Philoria pughi,26
Cyclorana cryptotis,23
Uperoleia minima,22
Cyclorana manya,20
Limnodynastes lignarius,20
Mixophyes schevilli,20
Uperoleia trachyderma,20
Cophixalus bombiens,19
Neobatrachus aquilonius,19
Neobatrachus wilsmorei,19
Neobatrachus albipes,17
Anstisia lutea,16
Limnodynastes terraereginae,15
Litoria meiriana,15
Litoria cavernicola,14
Pseudophryne douglasi,14
Heleioporus inornatus,13
Litoria gilleni,13
Litoria splendida,13
Neobatrachus fulvus,13
Cophixalus saxatilis,12
Litoria booroolongensis,12
Litoria burrowsae,11
Neobatrachus pelobatoides,11
Uperoleia russelli,11
Crinia flindersensis,10
Pseudophryne robinsoni,9
Taudactylus liemi,9
Litoria corbeni,8
Cyclorana occidentalis,7
Litoria aurifera,7
Notaden weigeli,7
Spicospina flammocaerulea,7
Cophixalus hinchinbrookensis,6
Philoria richmondensis,5
Uperoleia stridera,5
Cophixalus kulakula,4
Limnodynastes depressus,4
Litoria eucnemis,4
Uperoleia micra,4
Arenophryne xiphorhyncha,3
Crinia riparia,3
Uperoleia glandulosa,3
Cophixalus exiguus,2
Litoria personata,2
Litoria staccato,2
Cyclorana vagitus,1
Litoria nannotis,1
Philoria knowlesi,1
Uperoleia arenicola,1
