scientificName,event_count,percent_primary,cumulative_percent_primary,rank
Crinia signifera,87536,35.38151863738147,35.38151863738147,1
Limnodynastes peronii,45042,18.20570236776796,53.58722100514943,2
Litoria fallax,17485,7.06733062253947,60.654551627688896,3
Litoria peronii,14867,6.0091509502598965,66.6637025779488,4
Limnodynastes tasmaniensis,12669,5.1207327227310575,71.78443530067985,5
Litoria caerulea,12397,5.010791977559154,76.79522727823901,6
Litoria ewingii,9345,3.7771921457038227,80.57241942394283,7
Limnodynastes dumerilii,7720,3.120377032084913,83.69279645602774,8
Crinia glauerti,7179,2.901708123489325,86.59450457951706,9
Adelotus brevis,5489,2.218620405325659,88.81312498484273,10
Litoria quiritatus,4579,1.8508039416990696,90.6639289265418,11
Litoria pyrina,4566,1.8455494207901182,92.5094783473319,12
Litoria gracilenta,4393,1.775623873309459,94.28510222064138,13
Crinia parinsignifera,3917,1.5832275692586275,95.8683297899,14
Litoria moorei,3579,1.4466100256258942,97.31493981552589,15
Litoria verreauxii,2334,0.9433886001147911,98.25832841564069,16
Crinia georgiana,2155,0.8710378891376926,99.12936630477837,17
Litoria infrafrenata,2154,0.8706336952216195,100,18
