scientificName,epbc_match_status,epbc_listed,epbc_category,conservation_group,selected_for_model,raw_occurrence_rows,clean_occurrence_rows,raw_events,raw_single_species_events,open_location_events,precision_eligible_events,no_generalization_events,clean_events,clean_single_species_events,retention_raw_to_clean_percent,retention_raw_single_to_clean_single_percent
Adelotus brevis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,18614,17580,18614,5689,18242,17580,18242,17580,5489,94.44504136671323,96.4844436632097
Anstisia lutea,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,16,16,16,11,16,16,16,16,11,100,100
Anstisia rosea,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,65,63,65,26,65,63,65,63,25,96.92307692307692,96.15384615384616
Arenophryne xiphorhyncha,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,3,3,3,3,3,3,3,3,3,100,100
Assa darlingtoni,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,498,0,498,413,0,0,0,0,0,0,0
Austrochaperina adelphe,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,51,51,51,28,51,51,51,51,28,100,100
Austrochaperina fryi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,320,209,320,103,215,209,215,209,101,65.3125,98.05825242718447
Austrochaperina gracilipes,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,128,128,128,44,128,128,128,128,44,100,100
Austrochaperina pluvialis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,830,791,830,186,817,791,817,791,182,95.3012048192771,97.84946236559139
Austrochaperina robusta,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,461,430,461,178,456,430,456,430,166,93.27548806941432,93.25842696629213
Cophixalus aenigma,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,211,0,211,66,0,0,0,0,0,0,0
Cophixalus australis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,552,519,552,276,538,519,538,519,268,94.02173913043478,97.10144927536231
Cophixalus bombiens,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,19,0,19,7,0,0,0,0,0,0,0
Cophixalus exiguus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2,0,2,1,0,0,0,0,0,0,0
Cophixalus hinchinbrookensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,6,0,6,6,0,0,0,0,0,0,0
Cophixalus infacetus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,107,0,107,88,0,0,0,0,0,0,0
Cophixalus kulakula,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4,0,4,4,0,0,0,0,0,0,0
Cophixalus ornatus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,981,907,981,347,929,907,929,907,337,92.45667686034659,97.11815561959654
Cophixalus saxatilis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,12,0,12,12,0,0,0,0,0,0,0
Crinia bilingua,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,283,278,283,103,283,278,283,278,101,98.23321554770318,98.05825242718447
Crinia deserticola,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1239,1193,1239,218,1232,1193,1232,1193,210,96.28732849071832,96.3302752293578
Crinia flindersensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,10,10,10,8,10,10,10,10,8,100,100
Crinia georgiana,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,9261,9182,9261,2173,9256,9182,9256,9182,2155,99.14696037145016,99.17165209387943
Crinia glauerti,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,19233,18913,19233,7294,19226,18913,19226,18913,7179,98.33619300161182,98.42336166712366
Crinia insignifera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4184,4043,4184,1660,4184,4043,4184,4043,1624,96.6300191204589,97.83132530120481
Crinia nimbus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,26,26,26,26,26,26,26,26,26,100,100
Crinia parinsignifera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,35574,32443,35574,3984,33203,32443,33203,32443,3917,91.19862821161523,98.31827309236948
Crinia pseudinsignifera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1939,1908,1939,679,1939,1908,1939,1908,667,98.40123775141825,98.23269513991164
Crinia remota,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2879,2571,2879,326,2725,2571,2725,2571,307,89.30184091698507,94.1717791411043
Crinia riparia,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,3,3,3,3,3,3,3,3,3,100,100
Crinia signifera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,183602,176620,183602,89874,181064,176620,181064,176620,87536,96.19720918072788,97.3985802345506
Crinia sloanei,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,2654,0,2654,268,0,0,0,0,0,0,0
Crinia subinsignifera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,369,366,369,47,369,366,369,366,46,99.1869918699187,97.87234042553192
Crinia tasmaniensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1067,1026,1067,693,1059,1026,1059,1026,674,96.15745079662605,97.25829725829726
Crinia tinnula,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2466,2127,2466,1330,2207,2127,2207,2127,1291,86.25304136253041,97.06766917293233
Cyclorana alboguttata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,749,720,749,8,749,720,749,720,8,96.12817089452604,100
Cyclorana australis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2563,2465,2563,104,2556,2465,2556,2465,103,96.17635583300819,99.03846153846153
Cyclorana brevipes,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,372,366,372,1,372,366,372,366,1,98.38709677419355,100
Cyclorana cryptotis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,23,23,23,0,23,23,23,23,0,100,NA
Cyclorana cultripes,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,300,289,300,10,300,289,300,289,9,96.33333333333333,90
Cyclorana longipes,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,463,451,463,7,463,451,463,451,7,97.40820734341253,100
Cyclorana maculosa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,38,38,38,3,38,38,38,38,3,100,100
Cyclorana maini,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,222,214,222,56,221,214,221,214,51,96.3963963963964,91.07142857142857
Cyclorana manya,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,20,20,20,0,20,20,20,20,0,100,NA
Cyclorana novaehollandiae,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,715,696,715,22,715,696,715,696,22,97.34265734265735,100
Cyclorana occidentalis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,7,7,7,1,7,7,7,7,1,100,100
Cyclorana platycephala,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,252,239,252,3,252,239,252,239,3,94.84126984126983,100
Cyclorana vagitus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1,1,1,0,1,1,1,1,0,100,NA
Cyclorana verrucosa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,126,116,126,0,126,116,126,116,0,92.06349206349206,NA
Geocrinia laevis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,252,248,252,183,251,248,251,248,181,98.41269841269842,98.90710382513662
Geocrinia leai,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2796,2729,2796,1148,2796,2729,2796,2729,1124,97.60371959942775,97.90940766550523
Geocrinia sparsiflora,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,427,418,427,349,427,418,427,418,341,97.89227166276346,97.70773638968481
Geocrinia victoriana,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1160,1091,1160,843,1141,1091,1141,1091,807,94.05172413793103,95.72953736654804
Heleioporus albopunctatus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,185,180,185,78,185,180,185,180,76,97.29729729729729,97.43589743589743
Heleioporus australiacus,unresolved_listed_subspecies_only,NA,NA,not_confirmed_listed_or_unresolved,FALSE,137,0,137,63,0,0,0,0,0,0,0
Heleioporus barycragus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,55,54,55,26,55,54,55,54,25,98.18181818181819,96.15384615384616
Heleioporus eyrei,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2764,2704,2764,2009,2764,2704,2764,2704,1970,97.82923299565847,98.05873568939771
Heleioporus inornatus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,13,11,13,3,13,11,13,11,2,84.61538461538461,66.66666666666667
Heleioporus psammophilus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,26,25,26,10,26,25,26,25,10,96.15384615384616,100
Lechriodus fletcheri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,73,61,73,30,64,61,64,61,29,83.56164383561644,96.66666666666667
Limnodynastes convexiusculus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4767,4520,4767,1116,4704,4520,4704,4520,1081,94.8185441577512,96.86379928315412
Limnodynastes depressus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4,4,4,0,4,4,4,4,0,100,NA
Limnodynastes dorsalis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,6623,6510,6623,1684,6623,6510,6623,6510,1674,98.29382455080778,99.40617577197149
Limnodynastes dumerilii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,33096,31786,33096,7854,32478,31786,32478,31786,7720,96.04181774232535,98.29386299974536
Limnodynastes fletcheri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2512,2384,2512,367,2449,2384,2449,2384,359,94.90445859872611,97.82016348773843
Limnodynastes grayi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4934,4625,4934,478,4786,4625,4786,4625,461,93.73733279286583,96.44351464435147
Limnodynastes interioris,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,692,659,692,121,678,659,678,659,119,95.23121387283237,98.34710743801652
Limnodynastes lignarius,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,20,20,20,4,20,20,20,20,4,100,100
Limnodynastes peronii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,111212,107924,111212,45863,110285,107924,110285,107924,45042,97.04348451605942,98.20988596472101
Limnodynastes salmini,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1732,1678,1732,381,1726,1678,1726,1678,375,96.88221709006929,98.4251968503937
Limnodynastes superciliaris,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,333,290,333,36,314,290,314,290,34,87.08708708708708,94.44444444444444
Limnodynastes tasmaniensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,62347,59321,62347,12957,60743,59321,60743,59321,12669,95.14651867772307,97.77726325538319
Limnodynastes terraereginae,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,15,15,15,0,15,15,15,15,0,100,NA
Litoria adelaidensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,11269,11045,11269,2011,11267,11045,11267,11045,1980,98.01224598455941,98.45847836897066
Litoria aurea,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,299,0,299,31,0,0,0,0,0,0,0
Litoria aurifera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,7,7,7,3,7,7,7,7,3,100,100
Litoria balatus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2570,2481,2570,734,2536,2481,2536,2481,728,96.53696498054475,99.1825613079019
Litoria barringtonensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1210,867,1210,243,890,867,890,867,238,71.65289256198348,97.94238683127573
Litoria bella,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,42,42,42,12,42,42,42,42,12,100,100
Litoria bicolor,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4110,3804,4110,289,3982,3804,3982,3804,277,92.55474452554745,95.8477508650519
Litoria booroolongensis,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,12,0,12,3,0,0,0,0,0,0,0
Litoria brevipalmata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,361,0,361,14,0,0,0,0,0,0,0
Litoria burrowsae,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,11,0,11,3,0,0,0,0,0,0,0
Litoria caerulea,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,28749,28052,28749,12615,28672,28052,28672,28052,12397,97.57556784583812,98.27189853349188
Litoria calliscelis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1762,1731,1762,646,1760,1731,1760,1731,637,98.24063564131669,98.60681114551083
Litoria cavernicola,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,14,14,14,6,14,14,14,14,6,100,100
Litoria chloris,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,3042,2948,3042,990,3022,2948,3022,2948,964,96.90992767915844,97.37373737373737
Litoria citropa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,321,303,321,31,313,303,313,303,30,94.39252336448598,96.7741935483871
Litoria cooloolensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,278,0,278,129,0,0,0,0,0,0,0
Litoria coplandi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,42,42,42,22,42,42,42,42,22,100,100
Litoria corbeni,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,8,0,8,1,0,0,0,0,0,0,0
Litoria cyclorhyncha,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,154,146,154,64,154,146,154,146,62,94.8051948051948,96.875
Litoria daviesae,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,72,0,72,43,0,0,0,0,0,0,0
Litoria dayi,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,40,0,40,30,0,0,0,0,0,0,0
Litoria dentata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4848,4690,4848,1460,4799,4690,4799,4690,1423,96.74092409240924,97.46575342465754
Litoria electrica,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,96,93,96,4,96,93,96,93,4,96.875,100
Litoria eucnemis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4,4,4,1,4,4,4,4,1,100,100
Litoria ewingii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,29742,28922,29742,9510,29499,28922,29499,28922,9345,97.24295608903235,98.26498422712933
Litoria fallax,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,68399,66230,68399,17849,67890,66230,67890,66230,17485,96.82890100732467,97.96067006554989
Litoria freycineti,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,415,355,415,109,366,355,366,355,107,85.5421686746988,98.1651376146789
Litoria gilleni,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,13,13,13,4,13,13,13,13,4,100,100
Litoria gracilenta,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,16835,16136,16835,4502,16617,16136,16617,16136,4393,95.84793584793584,97.57885384273656
Litoria inermis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,3728,3563,3728,472,3726,3563,3726,3563,449,95.57403433476395,95.12711864406779
Litoria infrafrenata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,3690,3600,3690,2216,3690,3600,3690,3600,2154,97.5609756097561,97.20216606498195
Litoria jervisiensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,854,804,854,116,818,804,818,804,112,94.14519906323186,96.55172413793103
Litoria jungguy,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,366,358,366,203,366,358,366,358,198,97.81420765027322,97.53694581280789
Litoria larisonans,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,241,236,241,200,241,236,241,236,195,97.9253112033195,97.5
Litoria latopalmata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,13116,12733,13116,1276,13091,12733,13091,12733,1251,97.07990240927111,98.04075235109718
Litoria lesueuri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,192,189,192,25,192,189,192,189,24,98.4375,96
Litoria littlejohni,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,53,0,53,19,0,0,0,0,0,0,0
Litoria meiriana,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,15,15,15,8,15,15,15,15,8,100,100
Litoria microbelos,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,275,265,275,24,271,265,271,265,24,96.36363636363636,100
