"species","month","month_name","within_species_share"
"Crinia signifera",1,"Jan",0.0180611405593127
"Crinia signifera",2,"Feb",0.0192377993054286
"Crinia signifera",3,"Mar",0.0410002741729117
"Crinia signifera",4,"Apr",0.0589814476329739
"Crinia signifera",5,"May",0.0775338146591117
"Crinia signifera",6,"Jun",0.107829921403765
"Crinia signifera",7,"Jul",0.153136995064888
"Crinia signifera",8,"Aug",0.156084353865838
"Crinia signifera",9,"Sep",0.121607110217511
"Crinia signifera",10,"Oct",0.0964745933101809
"Crinia signifera",11,"Nov",0.121972674099799
"Crinia signifera",12,"Dec",0.02807987570828
"Limnodynastes peronii",1,"Jan",0.130766839838373
"Limnodynastes peronii",2,"Feb",0.119488477421074
"Limnodynastes peronii",3,"Mar",0.114870565250211
"Limnodynastes peronii",4,"Apr",0.0574796856267484
"Limnodynastes peronii",5,"May",0.0295723990941788
"Limnodynastes peronii",6,"Jun",0.00948004085076151
"Limnodynastes peronii",7,"Jul",0.0168953421251277
"Limnodynastes peronii",8,"Aug",0.0396074774654767
"Limnodynastes peronii",9,"Sep",0.0840548821100306
"Limnodynastes peronii",10,"Oct",0.10265973979841
"Limnodynastes peronii",11,"Nov",0.183606411793437
"Limnodynastes peronii",12,"Dec",0.111518138626171
"Litoria fallax",1,"Jan",0.0722333428653131
"Litoria fallax",2,"Feb",0.0605090077209036
"Litoria fallax",3,"Mar",0.0308836145267372
"Litoria fallax",4,"Apr",0.0241921647126108
"Litoria fallax",5,"May",0.0148126965970832
"Litoria fallax",6,"Jun",0.0023448670288819
"Litoria fallax",7,"Jul",0.0125250214469545
"Litoria fallax",8,"Aug",0.084586788676008
"Litoria fallax",9,"Sep",0.16551329711181
"Litoria fallax",10,"Oct",0.165627680869317
"Litoria fallax",11,"Nov",0.275550471833
"Litoria fallax",12,"Dec",0.0912210466113812
"Litoria peronii",1,"Jan",0.0801103114279949
"Litoria peronii",2,"Feb",0.0190354476357032
"Litoria peronii",3,"Mar",0.00914777695567364
"Litoria peronii",4,"Apr",0.0074662003094101
"Litoria peronii",5,"May",0.00289231183157328
"Litoria peronii",6,"Jun",0.00188336584381516
"Litoria peronii",7,"Jul",0.00282504876572274
"Litoria peronii",8,"Aug",0.0187663953723011
"Litoria peronii",9,"Sep",0.136813075940001
"Litoria peronii",10,"Oct",0.199031411851752
"Litoria peronii",11,"Nov",0.370619492836483
"Litoria peronii",12,"Dec",0.151409161229569
"Limnodynastes tasmaniensis",1,"Jan",0.127476517483621
"Limnodynastes tasmaniensis",2,"Feb",0.0860367826979241
"Limnodynastes tasmaniensis",3,"Mar",0.0951929907648591
"Limnodynastes tasmaniensis",4,"Apr",0.0288104822795801
"Limnodynastes tasmaniensis",5,"May",0.0103402004893835
"Limnodynastes tasmaniensis",6,"Jun",0.00418343989265135
"Limnodynastes tasmaniensis",7,"Jul",0.0120767227089747
"Limnodynastes tasmaniensis",8,"Aug",0.0608572105138527
"Limnodynastes tasmaniensis",9,"Sep",0.108374773068119
"Limnodynastes tasmaniensis",10,"Oct",0.118714973557503
"Limnodynastes tasmaniensis",11,"Nov",0.239640066303576
"Limnodynastes tasmaniensis",12,"Dec",0.108295840239956
"Litoria caerulea",1,"Jan",0.178914253448415
"Litoria caerulea",2,"Feb",0.119464386545132
"Litoria caerulea",3,"Mar",0.0353311284988304
"Litoria caerulea",4,"Apr",0.00500120997015407
"Litoria caerulea",5,"May",0.0010486408001936
"Litoria caerulea",6,"Jun",0.000483988061627813
"Litoria caerulea",7,"Jul",0.000403323384689844
"Litoria caerulea",8,"Aug",0.00201661692344922
"Litoria caerulea",9,"Sep",0.0242800677583286
"Litoria caerulea",10,"Oct",0.119464386545132
"Litoria caerulea",11,"Nov",0.324433330644511
"Litoria caerulea",12,"Dec",0.189158667419537
"Litoria ewingii",1,"Jan",0.0142322097378277
"Litoria ewingii",2,"Feb",0.0250401284109149
"Litoria ewingii",3,"Mar",0.063135366506153
"Litoria ewingii",4,"Apr",0.0865703584804708
"Litoria ewingii",5,"May",0.107972177635099
