"species","events","peak_month","peak_month_name","peak_month_share_percent","months_to_cover_80_percent","circular_concentration_R"
"Crinia signifera",87536,8,"Aug",15.6084353865838,7,0.385395332357116
"Limnodynastes peronii",45042,11,"Nov",18.3606411793437,7,0.398909623263646
"Litoria fallax",17485,11,"Nov",27.5550471833,6,0.570427688305183
"Litoria peronii",14867,11,"Nov",37.0619492836483,4,0.769042501712568
"Limnodynastes tasmaniensis",12669,11,"Nov",23.9640066303576,7,0.477021662213708
"Litoria caerulea",12397,11,"Nov",32.4433330644511,4,0.744462487237066
"Litoria ewingii",9345,6,"Jun",14.1037988228999,8,0.322502124962594
"Limnodynastes dumerilii",7720,11,"Nov",29.9352331606218,4,0.723047955883701
"Crinia glauerti",7179,11,"Nov",14.5702744114779,9,0.160625696924613
"Adelotus brevis",5489,11,"Nov",20.1493896884678,6,0.530116424297578
"Litoria quiritatus",4579,11,"Nov",28.0628958287836,4,0.760401512275338
"Litoria pyrina",4566,11,"Nov",29.413053000438,5,0.689886779782894
"Litoria gracilenta",4393,2,"Feb",23.58297291145,5,0.675449464708564
"Crinia parinsignifera",3917,8,"Aug",22.4406433495022,7,0.397266857862788
"Litoria moorei",3579,11,"Nov",34.0597932383347,4,0.782676876895899
"Litoria verreauxii",2334,4,"Apr",12.5535561268209,8,0.286758526447955
"Crinia georgiana",2155,7,"Jul",33.7354988399072,4,0.808070137012716
"Litoria infrafrenata",2154,12,"Dec",24.5125348189415,5,0.70439261385431
