"grid_size_degrees","species_a","species_b","cells_a","cells_b","shared_cells","jaccard_overlap","overlap_coefficient"
0.5,"Crinia signifera","Limnodynastes peronii",336,224,170,0.435897435897436,0.758928571428571
0.5,"Crinia signifera","Litoria fallax",336,136,86,0.22279792746114,0.632352941176471
0.5,"Crinia signifera","Litoria peronii",336,278,204,0.497560975609756,0.733812949640288
0.5,"Crinia signifera","Limnodynastes tasmaniensis",336,433,246,0.470363288718929,0.732142857142857
0.5,"Crinia signifera","Litoria caerulea",336,275,92,0.177263969171484,0.334545454545455
0.5,"Crinia signifera","Litoria ewingii",336,116,110,0.321637426900585,0.948275862068966
0.5,"Crinia signifera","Limnodynastes dumerilii",336,243,215,0.590659340659341,0.88477366255144
0.5,"Crinia signifera","Crinia glauerti",336,27,0,0,0
0.5,"Crinia signifera","Adelotus brevis",336,50,40,0.115606936416185,0.8
0.5,"Crinia signifera","Litoria quiritatus",336,38,37,0.109792284866469,0.973684210526316
0.5,"Crinia signifera","Litoria pyrina",336,111,25,0.0592417061611374,0.225225225225225
0.5,"Crinia signifera","Litoria gracilenta",336,75,36,0.096,0.48
0.5,"Crinia signifera","Crinia parinsignifera",336,201,133,0.329207920792079,0.661691542288557
0.5,"Crinia signifera","Litoria moorei",336,55,0,0,0
0.5,"Crinia signifera","Litoria verreauxii",336,105,105,0.3125,1
0.5,"Crinia signifera","Crinia georgiana",336,33,0,0,0
0.5,"Crinia signifera","Litoria infrafrenata",336,23,0,0,0
0.5,"Limnodynastes peronii","Litoria fallax",224,136,115,0.469387755102041,0.845588235294118
0.5,"Limnodynastes peronii","Litoria peronii",224,278,142,0.394444444444444,0.633928571428571
0.5,"Limnodynastes peronii","Limnodynastes tasmaniensis",224,433,155,0.308764940239044,0.691964285714286
0.5,"Limnodynastes peronii","Litoria caerulea",224,275,110,0.282776349614396,0.491071428571429
0.5,"Limnodynastes peronii","Litoria ewingii",224,116,63,0.227436823104693,0.543103448275862
0.5,"Limnodynastes peronii","Limnodynastes dumerilii",224,243,101,0.275956284153005,0.450892857142857
0.5,"Limnodynastes peronii","Crinia glauerti",224,27,0,0,0
0.5,"Limnodynastes peronii","Adelotus brevis",224,50,48,0.212389380530973,0.96
0.5,"Limnodynastes peronii","Litoria quiritatus",224,38,35,0.154185022026432,0.921052631578947
0.5,"Limnodynastes peronii","Litoria pyrina",224,111,64,0.236162361623616,0.576576576576577
0.5,"Limnodynastes peronii","Litoria gracilenta",224,75,73,0.323008849557522,0.973333333333333
0.5,"Limnodynastes peronii","Crinia parinsignifera",224,201,91,0.272455089820359,0.45273631840796
0.5,"Limnodynastes peronii","Litoria moorei",224,55,0,0,0
0.5,"Limnodynastes peronii","Litoria verreauxii",224,105,90,0.376569037656904,0.857142857142857
0.5,"Limnodynastes peronii","Crinia georgiana",224,33,0,0,0
0.5,"Limnodynastes peronii","Litoria infrafrenata",224,23,12,0.051063829787234,0.521739130434783
0.5,"Litoria fallax","Litoria peronii",136,278,91,0.281733746130031,0.669117647058823
0.5,"Litoria fallax","Limnodynastes tasmaniensis",136,433,92,0.192872117400419,0.676470588235294
0.5,"Litoria fallax","Litoria caerulea",136,275,108,0.356435643564356,0.794117647058823
0.5,"Litoria fallax","Litoria ewingii",136,116,10,0.0413223140495868,0.0862068965517241
0.5,"Litoria fallax","Limnodynastes dumerilii",136,243,30,0.0859598853868195,0.220588235294118
0.5,"Litoria fallax","Crinia glauerti",136,27,0,0,0
0.5,"Litoria fallax","Adelotus brevis",136,50,50,0.367647058823529,1
0.5,"Litoria fallax","Litoria quiritatus",136,38,27,0.183673469387755,0.710526315789474
0.5,"Litoria fallax","Litoria pyrina",136,111,63,0.342391304347826,0.567567567567568
0.5,"Litoria fallax","Litoria gracilenta",136,75,70,0.49645390070922,0.933333333333333
0.5,"Litoria fallax","Crinia parinsignifera",136,201,59,0.212230215827338,0.433823529411765
0.5,"Litoria fallax","Litoria moorei",136,55,0,0,0
0.5,"Litoria fallax","Litoria verreauxii",136,105,51,0.268421052631579,0.485714285714286
0.5,"Litoria fallax","Crinia georgiana",136,33,0,0,0
0.5,"Litoria fallax","Litoria infrafrenata",136,23,12,0.0816326530612245,0.521739130434783
0.5,"Litoria peronii","Limnodynastes tasmaniensis",278,433,240,0.509554140127389,0.863309352517986
0.5,"Litoria peronii","Litoria caerulea",278,275,119,0.274193548387097,0.432727272727273
0.5,"Litoria peronii","Litoria ewingii",278,116,41,0.11614730878187,0.353448275862069
0.5,"Litoria peronii","Limnodynastes dumerilii",278,243,140,0.36745406824147,0.576131687242798
