"scientificName","events","unique_exact_coordinate_pairs","latitude_median","latitude_iqr","longitude_median","longitude_iqr","occupied_cells_05deg","occupied_cells_1deg","top_5_cells_event_share_percent","top_10_cells_event_share_percent"
"Crinia signifera",87536,71786,-34.8993423542723,3.62412610878614,149.253078719985,5.72172419138013,336,117,31.3014074209468,44.497121184427
"Limnodynastes peronii",45042,35125,-33.7157053222129,5.9008997895765,151.163,2.00597230322018,224,100,47.3558012521646,62.6060121664225
"Litoria fallax",17485,12909,-27.8996183757739,6.19052735917649,152.679728413804,1.77966420525001,136,62,34.0005719187875,55.2587932513583
"Litoria peronii",14867,11506,-33.782,0.360737321348623,151.081,0.422413471578835,278,115,64.9963005313782,75.2471917670007
"Limnodynastes tasmaniensis",12669,10807,-35.0838,3.02539333415783,147.29942369655,4.31799999999998,433,177,30.5706843476202,40.4846475649222
"Litoria caerulea",12397,9893,-27.1373832819796,10.5864,151.782272642873,7.05236368112548,275,154,28.1761716544325,44.0751794789062
"Litoria ewingii",9345,7601,-37.8615,0.697979818162366,145.208326662095,1.33487773203802,116,48,52.4237560192616,67.3729266987694
"Limnodynastes dumerilii",7720,6726,-37.0068999266445,2.87671795861002,144.876627889157,3.26462600384937,243,94,36.7098445595855,50.1165803108808
"Crinia glauerti",7179,3019,-31.9355,0.0770322163894761,115.887,0.0370000000000061,27,14,89.8035938152946,94.86000835771
"Adelotus brevis",5489,4588,-27.5168320663212,2.7123,152.974,0.222964011065841,50,22,51.2479504463472,81.7088722900346
"Litoria quiritatus",4579,3396,-33.765,1.03192566661259,150.839,0.676000000000016,38,17,73.1164009609085,87.6829001965495
"Litoria pyrina",4566,3073,-25.3032061904093,7.41355555239392,151.997764128184,6.13783591980092,111,53,46.3863337713535,63.8195356986421
"Litoria gracilenta",4393,3642,-27.3454,1.5461,152.968653811646,0.552633246225781,75,35,42.9319371727749,68.2676986114273
"Crinia parinsignifera",3917,3521,-33.7924,7.49287679789244,149.021343043039,5.67915426052011,201,78,30.6867500638244,46.7704876180751
"Litoria moorei",3579,2196,-31.9967,0.185807116739383,115.888,0.209515597795942,55,26,88.5163453478625,94.8868398994132
"Litoria verreauxii",2334,2020,-33.8251538183765,2.84328517322277,150.302964565205,1.95380076073411,105,42,32.7763496143959,46.7437874892888
"Crinia georgiana",2155,1113,-31.9387,0.0944294679112936,115.895,0.11576400855536,33,16,85.2436194895592,92.0649651972158
"Litoria infrafrenata",2154,1722,-16.8530312834233,0.168950579333085,145.701394684045,0.0790000000000077,23,13,89.1364902506964,96.8895078922934
