"feature","spearman_latitude","spearman_longitude","max_absolute_coordinate_correlation"
"BIO10",0.849639336800669,0.424959538508842,0.849639336800669
"BIO1",0.847982661061896,0.50999534522649,0.847982661061896
"BIO8",0.823724307328488,0.695294275484106,0.823724307328488
"BIO18",0.69659441025539,0.796392019377211,0.796392019377211
"BIO11",0.782920416337048,0.484234025260541,0.782920416337048
"BIO15",0.778577446861928,0.22520409655109,0.778577446861928
"BIO13",0.752381634081837,0.521410126157269,0.752381634081837
"BIO16",0.737709101997623,0.535739613169497,0.737709101997623
"BIO12",0.547450933473978,0.643778112348575,0.643778112348575
"BIO6",0.629693179482868,0.313287649344074,0.629693179482868
"climatological_tavg_event_month",0.61146638622946,0.379694320245848,0.61146638622946
"BIO5",0.586756898775075,0.0238722897269317,0.586756898775075
"BIO9",-0.0151213816016501,-0.482599588523345,0.482599588523345
"BIO3",0.474369867038868,0.195436089046978,0.474369867038868
"BIO17",-0.129237907800612,0.470371230824199,0.470371230824199
"climatological_prec_event_month",0.313315651602082,0.371743630204558,0.371743630204558
"BIO14",-0.235980423947497,0.371660845273435,0.371660845273435
"BIO19",-0.276991443859998,-0.161250226740538,0.276991443859998
"elevation",-0.237597781195153,-0.167833111296755,0.237597781195153
"BIO7",-0.124312631727505,-0.217950724926474,0.217950724926474
"BIO4",-0.115738010023913,-0.198432705905256,0.198432705905256
"BIO2",0.0259265688952421,-0.1152309343592,0.1152309343592
