"measure","value"
"events",247406
"complete_environmental_events",242600
"incomplete_environmental_events",4806
"environmental_predictors",22
"predictor_sd_minimum",1.63083427341878
"predictor_sd_maximum",370.302100493118
"predictor_sd_max_to_min_ratio",227.062986428927
"correlation_pairs_abs_rho_ge_0_8",17
"correlation_pairs_abs_rho_ge_0_9",8
"maximum_absolute_pairwise_spearman",0.990414605520587
"maximum_absolute_environment_coordinate_spearman",0.849639336800669
"bio7_max_abs_difference_from_bio5_minus_bio6",1.43051147460938e-06
"pc1_variance_percent",45.4201202900614
"pc2_variance_percent",20.9529521345707
"pc1_pc2_cumulative_variance_percent",66.3730724246322
"components_for_80_percent_variance",4
"components_for_90_percent_variance",6
"components_for_95_percent_variance",8
