"scientificName","events","pc1_q25","pc1_median","pc1_q75","pc2_q25","pc2_median","pc2_q75"
"Crinia signifera",86099,0.258257558837492,1.87375590906946,3.1990715204015,-1.06301773424822,0.345671688703825,1.72166874694243
"Limnodynastes peronii",43369,-2.24536446629559,-0.676947556706444,0.0747225593189302,-0.561137314727444,0.897455068271028,1.97253608888193
"Litoria fallax",17265,-3.16451917910258,-2.26116354820528,-0.676272799841437,-0.986836660313926,0.172752718553782,1.51088720929628
"Litoria peronii",14482,-0.642812858892141,-0.221101243194108,0.258354879020566,-0.487091954981801,1.36067055172829,2.28266384860195
"Limnodynastes tasmaniensis",12635,1.44800552228845,2.60242764244685,3.46448303948988,-3.07398881618001,-1.84237070050397,-0.756822573645383
"Litoria caerulea",12090,-7.84670250296626,-3.25905690060169,-1.87590111017508,-2.84923170686318,-1.16758526453613,0.613237147511538
"Litoria ewingii",9242,1.97173400379831,2.21147622977498,3.06035883529495,0.390456514459985,0.825102048537269,1.56036031323794
"Limnodynastes dumerilii",7671,1.79591530310897,2.24610040231921,3.07263491035218,-2.31686222532131,-0.659436750702894,0.707371258159226
"Crinia glauerti",7147,-1.60717021313473,-1.50132632563893,-1.23798031894298,-4.04030241833202,-3.96001156766067,-3.60368897556184
"Adelotus brevis",5487,-3.20682407938149,-2.71845219695903,-2.14420406201471,-0.925398526784311,0.468063263145715,1.57137183752492
"Litoria pyrina",4502,-7.3692022118097,-3.82185405703411,-2.94038743716881,-2.09983749040219,-1.02341994610875,0.571440170298108
"Litoria quiritatus",4326,-0.833315754536841,-0.301209897446303,0.170366798845025,-0.875874543157733,1.60176080183231,2.3951926578936
"Litoria gracilenta",4256,-4.10000561693112,-3.35619973405592,-2.79517854078834,-0.913923647037929,0.271937602492781,1.18492272671755
"Crinia parinsignifera",3916,-1.21399294857603,2.92930367328575,3.32669050270483,-3.13375349207855,-2.17032005692989,-0.832273877922793
"Litoria moorei",3557,-1.48300648636697,-1.38841933247273,-1.22999339765557,-4.30208739892677,-3.96614907193657,-3.3523515349891
"Litoria verreauxii",2324,0.0943560537337918,1.74991430637295,3.64340976037143,-0.157405552538592,1.10475307272367,2.24320275485291
"Crinia georgiana",2136,-1.65303777972517,-1.52379999545062,-1.15553587717446,-3.83750466257289,-3.67205811388846,-3.2614859615841
"Litoria infrafrenata",2096,-12.2482668302511,-11.020255230413,-9.6997427954917,-0.49328541697455,0.772818491936263,1.3766942677556
