"component","variance","variance_share","cumulative_variance_share"
"PC1",9.99242646381275,0.454201202900614,0.454201202900614
"PC2",4.60964946960521,0.209529521345707,0.663730724246322
"PC3",2.50643568416592,0.113928894734823,0.777659618981145
"PC4",1.5783987936573,0.0717453997117008,0.849405018692846
"PC5",1.06370547926426,0.0483502490574698,0.897755267750316
"PC6",0.598559328114424,0.0272072421870213,0.924962509937337
"PC7",0.522139572417563,0.0237336169280729,0.94869612686541
"PC8",0.483473939359139,0.0219760881526898,0.9706722150181
"PC9",0.31008958047836,0.0140949809308356,0.984767195948935
"PC10",0.135853830408203,0.00617517410946425,0.9909423700584
"PC11",0.0576509730528292,0.0026204987751288,0.993562868833528
"PC12",0.0426955231768828,0.00194070559894936,0.995503574432478
"PC13",0.0332951485443422,0.00151341584292476,0.997016990275402
"PC14",0.0215758927384487,0.000980722397202287,0.997997712672605
"PC15",0.0165752139607407,0.000753418816397364,0.998751131489002
"PC16",0.013886244750822,0.000631192943219231,0.999382324432221
"PC17",0.00863258128591079,0.00039239005845052,0.999774714490672
"PC18",0.00396369815651579,0.000180168098023459,0.999954882588695
"PC19",0.00074367212669663,3.3803278486213e-05,0.999988685867182
"PC20",0.000194299423081594,8.83179195825494e-06,0.99999751765914
"PC21",5.4611498911161e-05,2.48234085959842e-06,0.999999999999999
"PC22",1.32962201469548e-14,6.04373643043448e-16,1
