"scientificName","feature","events","q25","median","q75","iqr"
"Crinia signifera","BIO1",86099,13.3874998092651,14.8916664123535,16.9916667938232,3.60416698455811
"Crinia signifera","BIO2",86099,9.30000019073486,10.4166669845581,11.8999996185303,2.59999942779541
"Crinia signifera","BIO3",86099,46.4152679443359,47.5330924987793,49.1408958435059,2.72562789916992
"Crinia signifera","BIO4",86099,379.709564208984,406.017944335938,453.554779052734,73.84521484375
"Crinia signifera","BIO5",86099,25.5,26.6000003814697,27.7999992370605,2.29999923706055
"Crinia signifera","BIO6",86099,2.79999995231628,4.69999980926514,6.40000009536743,3.60000014305115
"Crinia signifera","BIO7",86099,19.6000003814697,21.7000007629395,24.5,4.89999961853027
"Crinia signifera","BIO8",86099,10.8500003814697,15.8999996185303,21.3333339691162,10.4833335876465
"Crinia signifera","BIO9",86099,12.1333332061768,13.6333332061768,18.3999996185303,6.26666641235352
"Crinia signifera","BIO10",86099,18.8833332061768,20,21.75,2.86666679382324
"Crinia signifera","BIO11",86099,7.88333320617676,10,11.8249998092651,3.94166660308838
"Crinia signifera","BIO12",86099,724,870,1138,414
"Crinia signifera","BIO13",86099,80,107,141,61
"Crinia signifera","BIO14",86099,38,45,53,15
"Crinia signifera","BIO15",86099,18.6561126708984,26.8652172088623,32.9492416381836,14.2931289672852
"Crinia signifera","BIO16",86099,227,303,395,168
"Crinia signifera","BIO17",86099,129,154,183,54
"Crinia signifera","BIO18",86099,151,212,342,191
"Crinia signifera","BIO19",86099,164,211,251,87
"Crinia signifera","elevation",86099,50,155,439,389
"Crinia signifera","climatological_tavg_event_month",86099,10.1000003814697,12.5,15.3999996185303,5.29999923706055
"Crinia signifera","climatological_prec_event_month",86099,57,71,89,32
"Limnodynastes peronii","BIO1",43369,16.8083324432373,17.6958332061768,19.2374992370605,2.42916679382324
"Limnodynastes peronii","BIO2",43369,9.11666679382324,9.97500038146973,11.0666666030884,1.94999980926514
"Limnodynastes peronii","BIO3",43369,46.9849243164062,48.3490600585938,50.5458526611328,3.56092834472656
"Limnodynastes peronii","BIO4",43369,369.209564208984,391.03662109375,408.519134521484,39.3095703125
"Limnodynastes peronii","BIO5",43369,26.2000007629395,27.2999992370605,28.8999996185303,2.69999885559082
"Limnodynastes peronii","BIO6",43369,5.80000019073486,7,8.10000038146973,2.30000019073486
"Limnodynastes peronii","BIO7",43369,19.1000003814697,20.7000007629395,21.8999996185303,2.79999923706055
"Limnodynastes peronii","BIO8",43369,21.1499996185303,22.0666675567627,23,1.85000038146973
"Limnodynastes peronii","BIO9",43369,12.8500003814697,13.6166667938232,15.6666669845581,2.81666660308838
"Limnodynastes peronii","BIO10",43369,21.4333324432373,22.3500003814697,23.3833332061768,1.95000076293945
"Limnodynastes peronii","BIO11",43369,11.6000003814697,12.6833333969116,14.2166662216187,2.61666584014893
"Limnodynastes peronii","BIO12",43369,1002,1165,1291,289
"Limnodynastes peronii","BIO13",43369,130,145,170,40
"Limnodynastes peronii","BIO14",43369,39,47,59,20
"Limnodynastes peronii","BIO15",43369,26.7183494567871,29.8835678100586,43.5731010437012,16.8547515869141
"Limnodynastes peronii","BIO16",43369,361,410,463,102
"Limnodynastes peronii","BIO17",43369,143,170,200,57
"Limnodynastes peronii","BIO18",43369,313,359,442,129
"Limnodynastes peronii","BIO19",43369,154,212,249,95
"Limnodynastes peronii","elevation",43369,19,46,116,97
"Limnodynastes peronii","climatological_tavg_event_month",43369,17.7000007629395,20,22.1000003814697,4.39999961853027
"Limnodynastes peronii","climatological_prec_event_month",43369,77,99,131,54
"Litoria fallax","BIO1",17265,17.783332824707,19.5041675567627,20.3291664123535,2.54583358764648
"Litoria fallax","BIO2",17265,8.95833396911621,10.0916662216187,11.125,2.16666603088379
"Litoria fallax","BIO3",17265,47.9166679382324,50.2812957763672,51.7241401672363,3.80747222900391
"Litoria fallax","BIO4",17265,365.245849609375,380.158203125,396.773681640625,31.52783203125
"Litoria fallax","BIO5",17265,27,28.8999996185303,29.7999992370605,2.79999923706055
"Litoria fallax","BIO6",17265,6.80000019073486,7.90000009536743,8.89999961853027,2.09999942779541
"Litoria fallax","BIO7",17265,19,20.2999992370605,21.6999988555908,2.69999885559082
"Litoria fallax","BIO8",17265,22.0499992370605,23.5833320617676,24.5666656494141,2.51666641235352
"Litoria fallax","BIO9",17265,13.466667175293,15.1500005722046,16.0833339691162,2.61666679382324
"Litoria fallax","BIO10",17265,22.3999996185303,23.75,24.6166667938232,2.21666717529297
"Litoria fallax","BIO11",17265,12.6833333969116,14.25,15.2999992370605,2.61666584014893
"Litoria fallax","BIO12",17265,1111,1257,1468,357
"Litoria fallax","BIO13",17265,147,172,217,70
"Litoria fallax","BIO14",17265,34,40,50,16
"Litoria fallax","BIO15",17265,31.4800128936768,43.5623741149902,47.6905555725098,16.210542678833
"Litoria fallax","BIO16",17265,410,474,569,159
"Litoria fallax","BIO17",17265,126,157,190,64
"Litoria fallax","BIO18",17265,366,455,540,174
"Litoria fallax","BIO19",17265,139,192,229,90
"Litoria fallax","elevation",17265,16,38,78,62
"Litoria fallax","climatological_tavg_event_month",17265,17.6000003814697,20.2000007629395,22.5,4.89999961853027
"Litoria fallax","climatological_prec_event_month",17265,67,96,121,54
"Litoria peronii","BIO1",14482,16.8250007629395,17.408332824707,17.7583332061768,0.933332443237305
"Litoria peronii","BIO2",14482,8.99166679382324,9.78333282470703,11.3000001907349,2.30833339691162
"Litoria peronii","BIO3",14482,46.6841163635254,47.6057395935059,49.1666679382324,2.48255157470703
"Litoria peronii","BIO4",14482,376.503814697266,399.049041748047,424.992660522461,48.4888458251953
"Litoria peronii","BIO5",14482,26.1000003814697,26.8999996185303,28.2000007629395,2.10000038146973
"Litoria peronii","BIO6",14482,5.30000019073486,6.5,7.30000019073486,2
"Litoria peronii","BIO7",14482,19.1000003814697,20.3999996185303,22.7000007629395,3.60000038146973
"Litoria peronii","BIO8",14482,21.2000007629395,21.7666664123535,22.2666664123535,1.06666564941406
"Litoria peronii","BIO9",14482,12.7666664123535,13.1999998092651,13.6666669845581,0.90000057220459
"Litoria peronii","BIO10",14482,21.5166664123535,22.0666656494141,22.5833339691162,1.0666675567627
"Litoria peronii","BIO11",14482,11.5333337783813,12.1833333969116,12.6833333969116,1.14999961853027
"Litoria peronii","BIO12",14482,933,1133,1254,321
"Litoria peronii","BIO13",14482,114,137,150,36
"Litoria peronii","BIO14",14482,43,54,62,19
