"feature","eta_squared_species"
"BIO15",0.599795615181765
"BIO18",0.54712791439501
"climatological_tavg_event_month",0.544048755889513
"BIO1",0.538332313829068
"BIO11",0.524785435447139
"BIO10",0.497547741274307
"BIO8",0.480728302337339
"BIO6",0.454937151794281
"BIO16",0.450520083112091
"BIO13",0.442139801217442
"BIO19",0.430453010377573
"BIO12",0.381321601882162
"BIO14",0.374245315430164
"BIO5",0.361179940041106
"BIO17",0.35661165244874
"BIO9",0.327476452175105
"climatological_prec_event_month",0.28536855462232
"BIO4",0.266697083136863
"BIO3",0.259847653041998
"BIO7",0.216324353107847
"elevation",0.138972744340743
"BIO2",0.133438176764038
