"cell_x","cell_y","cell_lon","cell_lat","events","missing_n","missing_percent"
113,-26,113.5,-25.5,4,0,0
114,-34,114.5,-33.5,19,1,5.26315789473684
114,-31,114.5,-30.5,1,0,0
114,-30,114.5,-29.5,3,0,0
114,-29,114.5,-28.5,126,16,12.6984126984127
114,-28,114.5,-27.5,11,0,0
115,-35,115.5,-34.5,106,9,8.49056603773585
115,-34,115.5,-33.5,713,8,1.12201963534362
115,-33,115.5,-32.5,2106,0,0
115,-32,115.5,-31.5,7606,0,0
115,-31,115.5,-30.5,26,0,0
115,-30,115.5,-29.5,9,0,0
115,-22,115.5,-21.5,2,0,0
116,-36,116.5,-35.5,22,3,13.6363636363636
116,-35,116.5,-34.5,234,0,0
116,-34,116.5,-33.5,109,0,0
116,-33,116.5,-32.5,435,0,0
116,-32,116.5,-31.5,952,0,0
116,-31,116.5,-30.5,2,0,0
117,-36,117.5,-35.5,181,13,7.18232044198895
117,-35,117.5,-34.5,163,17,10.4294478527607
117,-34,117.5,-33.5,9,0,0
117,-33,117.5,-32.5,8,0,0
118,-36,118.5,-35.5,2,0,0
118,-35,118.5,-34.5,51,6,11.7647058823529
118,-32,118.5,-31.5,1,0,0
118,-21,118.5,-20.5,7,0,0
121,-32,121.5,-31.5,1,0,0
121,-31,121.5,-30.5,6,0,0
122,-35,122.5,-34.5,4,0,0
122,-34,122.5,-33.5,5,0,0
122,-18,122.5,-17.5,105,0,0
123,-18,123.5,-17.5,77,0,0
125,-19,125.5,-18.5,3,0,0
125,-18,125.5,-17.5,12,0,0
125,-17,125.5,-16.5,2,0,0
125,-15,125.5,-14.5,1,0,0
126,-19,126.5,-18.5,1,0,0
126,-18,126.5,-17.5,1,0,0
126,-16,126.5,-15.5,10,0,0
126,-15,126.5,-14.5,1,0,0
127,-19,127.5,-18.5,1,0,0
127,-14,127.5,-13.5,1,0,0
128,-16,128.5,-15.5,9,0,0
129,-16,129.5,-15.5,1,0,0
130,-18,130.5,-17.5,3,0,0
130,-17,130.5,-16.5,2,0,0
130,-13,130.5,-12.5,1395,14,1.00358422939068
130,-12,130.5,-11.5,5,1,20
131,-15,131.5,-14.5,12,0,0
131,-14,131.5,-13.5,10,0,0
131,-13,131.5,-12.5,363,0,0
132,-15,132.5,-14.5,60,0,0
132,-14,132.5,-13.5,1,0,0
132,-13,132.5,-12.5,22,0,0
133,-33,133.5,-32.5,4,1,25
133,-32,133.5,-31.5,1,0,0
133,-17,133.5,-16.5,1,0,0
133,-15,133.5,-14.5,3,0,0
133,-13,133.5,-12.5,1,0,0
134,-20,134.5,-19.5,1,0,0
134,-15,134.5,-14.5,5,0,0
134,-14,134.5,-13.5,2,0,0
134,-13,134.5,-12.5,2,1,50
135,-35,135.5,-34.5,40,0,0
135,-34,135.5,-33.5,1,0,0
135,-16,135.5,-15.5,3,0,0
135,-13,135.5,-12.5,1,0,0
136,-36,136.5,-35.5,38,0,0
136,-14,136.5,-13.5,5,0,0
136,-13,136.5,-12.5,59,34,57.6271186440678
137,-36,137.5,-35.5,134,3,2.23880597014925
137,-35,137.5,-34.5,25,0,0
137,-34,137.5,-33.5,46,14,30.4347826086957
137,-33,137.5,-32.5,6,0,0
138,-36,138.5,-35.5,2581,33,1.27857419604804
138,-35,138.5,-34.5,5468,1,0.0182882223847842
138,-34,138.5,-33.5,178,0,0
138,-33,138.5,-32.5,69,0,0
138,-32,138.5,-31.5,67,0,0
138,-31,138.5,-30.5,1,0,0
138,-20,138.5,-19.5,2,0,0
139,-38,139.5,-37.5,40,0,0
139,-37,139.5,-36.5,13,0,0
139,-36,139.5,-35.5,129,3,2.32558139534884
139,-35,139.5,-34.5,234,0,0
139,-34,139.5,-33.5,21,0,0
139,-26,139.5,-25.5,24,0,0
139,-25,139.5,-24.5,13,0,0
139,-21,139.5,-20.5,8,0,0
139,-17,139.5,-16.5,6,4,66.6666666666667
140,-39,140.5,-38.5,25,2,8
140,-38,140.5,-37.5,158,0,0
140,-37,140.5,-36.5,50,0,0
140,-36,140.5,-35.5,3,0,0
140,-35,140.5,-34.5,141,0,0
140,-34,140.5,-33.5,7,0,0
140,-28,140.5,-27.5,3,0,0
140,-25,140.5,-24.5,3,0,0
140,-24,140.5,-23.5,1,0,0
140,-23,140.5,-22.5,1,0,0
140,-21,140.5,-20.5,1,0,0
141,-39,141.5,-38.5,194,2,1.03092783505155
141,-38,141.5,-37.5,157,0,0
141,-37,141.5,-36.5,110,0,0
141,-36,141.5,-35.5,10,0,0
141,-35,141.5,-34.5,29,0,0
141,-34,141.5,-33.5,1,0,0
141,-32,141.5,-31.5,12,0,0
141,-21,141.5,-20.5,3,0,0
141,-15,141.5,-14.5,2,0,0
141,-13,141.5,-12.5,23,0,0
142,-39,142.5,-38.5,375,15,4
142,-38,142.5,-37.5,598,0,0
142,-37,142.5,-36.5,360,0,0
142,-36,142.5,-35.5,53,0,0
142,-35,142.5,-34.5,367,0,0
142,-34,142.5,-33.5,10,0,0
142,-33,142.5,-32.5,22,0,0
142,-28,142.5,-27.5,3,0,0
142,-23,142.5,-22.5,1,0,0
142,-21,142.5,-20.5,2,0,0
142,-13,142.5,-12.5,5,0,0
142,-12,142.5,-11.5,6,0,0
142,-11,142.5,-10.5,9,2,22.2222222222222
142,-10,142.5,-9.5,2,0,0
143,-41,143.5,-40.5,30,0,0
143,-40,143.5,-39.5,48,6,12.5
143,-39,143.5,-38.5,693,15,2.16450216450216
143,-38,143.5,-37.5,3519,0,0
143,-37,143.5,-36.5,640,0,0
143,-36,143.5,-35.5,101,0,0
143,-35,143.5,-34.5,48,0,0
143,-32,143.5,-31.5,2,0,0
143,-28,143.5,-27.5,5,0,0
143,-25,143.5,-24.5,3,0,0
143,-23,143.5,-22.5,15,0,0
143,-19,143.5,-18.5,4,0,0
143,-16,143.5,-15.5,3,0,0
143,-15,143.5,-14.5,1,0,0
143,-13,143.5,-12.5,41,4,9.75609756097561
143,-10,143.5,-9.5,5,0,0
144,-42,144.5,-41.5,30,1,3.33333333333333
144,-41,144.5,-40.5,22,2,9.09090909090909
144,-40,144.5,-39.5,40,0,0
144,-39,144.5,-38.5,2900,42,1.44827586206897
144,-38,144.5,-37.5,7752,16,0.206398348813209
144,-37,144.5,-36.5,1451,0,0
144,-36,144.5,-35.5,188,0,0
144,-35,144.5,-34.5,76,0,0
144,-34,144.5,-33.5,9,0,0
144,-33,144.5,-32.5,2,0,0
144,-32,144.5,-31.5,1,0,0
144,-31,144.5,-30.5,4,0,0
144,-30,144.5,-29.5,7,0,0
144,-29,144.5,-28.5,8,0,0
144,-28,144.5,-27.5,11,0,0
144,-25,144.5,-24.5,1,0,0
144,-24,144.5,-23.5,21,0,0
144,-21,144.5,-20.5,2,0,0
144,-20,144.5,-19.5,3,0,0
144,-19,144.5,-18.5,22,0,0
144,-18,144.5,-17.5,4,0,0
144,-17,144.5,-16.5,1,0,0
144,-10,144.5,-9.5,4,0,0
145,-44,145.5,-43.5,2,0,0
145,-43,145.5,-42.5,9,0,0
145,-42,145.5,-41.5,157,4,2.54777070063694
145,-41,145.5,-40.5,35,5,14.2857142857143
145,-39,145.5,-38.5,4633,37,0.798618605655083
145,-38,145.5,-37.5,12958,0,0
145,-37,145.5,-36.5,1229,0,0
145,-36,145.5,-35.5,117,0,0
145,-35,145.5,-34.5,33,0,0
145,-34,145.5,-33.5,18,0,0
145,-33,145.5,-32.5,1,0,0
145,-32,145.5,-31.5,2,0,0
145,-31,145.5,-30.5,20,0,0
145,-30,145.5,-29.5,9,0,0
145,-29,145.5,-28.5,14,0,0
145,-28,145.5,-27.5,7,0,0
145,-25,145.5,-24.5,4,0,0
145,-24,145.5,-23.5,10,0,0
145,-23,145.5,-22.5,19,0,0
145,-21,145.5,-20.5,1,0,0
145,-19,145.5,-18.5,7,0,0
145,-18,145.5,-17.5,1472,1,0.0679347826086956
145,-17,145.5,-16.5,4288,57,1.32929104477612
145,-16,145.5,-15.5,44,1,2.27272727272727
146,-44,146.5,-43.5,211,1,0.4739336492891
146,-43,146.5,-42.5,146,0,0
146,-42,146.5,-41.5,915,24,2.62295081967213
146,-40,146.5,-39.5,52,2,3.84615384615385
146,-39,146.5,-38.5,1373,27,1.96649672250546
146,-38,146.5,-37.5,573,0,0
146,-37,146.5,-36.5,4028,0,0
146,-36,146.5,-35.5,833,0,0
146,-35,146.5,-34.5,280,0,0
146,-34,146.5,-33.5,33,0,0
146,-32,146.5,-31.5,3,0,0
146,-30,146.5,-29.5,2,0,0
146,-29,146.5,-28.5,4,0,0
146,-27,146.5,-26.5,19,0,0
146,-26,146.5,-25.5,17,0,0
146,-25,146.5,-24.5,4,0,0
146,-22,146.5,-21.5,10,0,0
146,-21,146.5,-20.5,9,0,0
146,-20,146.5,-19.5,1503,24,1.59680638722555
146,-19,146.5,-18.5,71,3,4.22535211267606
146,-18,146.5,-17.5,311,5,1.60771704180064
147,-44,147.5,-43.5,1038,51,4.91329479768786
147,-43,147.5,-42.5,1586,54,3.40479192938209
147,-42,147.5,-41.5,852,1,0.117370892018779
147,-41,147.5,-40.5,45,6,13.3333333333333
147,-40,147.5,-39.5,2,0,0
147,-39,147.5,-38.5,231,0,0
147,-38,147.5,-37.5,1271,45,3.5405192761605
147,-37,147.5,-36.5,725,0,0
147,-36,147.5,-35.5,643,0,0
147,-35,147.5,-34.5,93,0,0
147,-34,147.5,-33.5,80,0,0
147,-33,147.5,-32.5,28,0,0
147,-32,147.5,-31.5,49,0,0
147,-31,147.5,-30.5,24,0,0
147,-30,147.5,-29.5,79,0,0
147,-29,147.5,-28.5,2,0,0
147,-27,147.5,-26.5,1,0,0
147,-25,147.5,-24.5,1,0,0
147,-24,147.5,-23.5,17,0,0
147,-23,147.5,-22.5,3,0,0
147,-21,147.5,-20.5,12,0,0
147,-20,147.5,-19.5,11,0,0
148,-44,148.5,-43.5,1,0,0
148,-43,148.5,-42.5,146,26,17.8082191780822
148,-42,148.5,-41.5,169,19,11.2426035502959
148,-41,148.5,-40.5,25,2,8
148,-40,148.5,-39.5,6,0,0
148,-38,148.5,-37.5,594,36,6.06060606060606
148,-37,148.5,-36.5,1068,0,0
148,-36,148.5,-35.5,1249,0,0
148,-35,148.5,-34.5,512,0,0
148,-34,148.5,-33.5,659,0,0
148,-33,148.5,-32.5,854,0,0
148,-32,148.5,-31.5,189,0,0
148,-31,148.5,-30.5,13,0,0
148,-30,148.5,-29.5,28,0,0
148,-29,148.5,-28.5,9,0,0
148,-28,148.5,-27.5,2,0,0
148,-27,148.5,-26.5,40,0,0
148,-26,148.5,-25.5,35,0,0
148,-25,148.5,-24.5,17,0,0
148,-24,148.5,-23.5,16,0,0
148,-23,148.5,-22.5,4,0,0
148,-22,148.5,-21.5,104,0,0
148,-21,148.5,-20.5,348,2,0.574712643678161
148,-20,148.5,-19.5,4,0,0
149,-38,149.5,-37.5,399,31,7.76942355889724
149,-37,149.5,-36.5,1818,81,4.45544554455445
149,-36,149.5,-35.5,8712,0,0
149,-35,149.5,-34.5,1435,0,0
149,-34,149.5,-33.5,1634,0,0
149,-33,149.5,-32.5,1279,0,0
149,-32,149.5,-31.5,152,0,0
149,-31,149.5,-30.5,211,0,0
149,-30,149.5,-29.5,24,0,0
149,-29,149.5,-28.5,2,0,0
149,-28,149.5,-27.5,9,0,0
149,-27,149.5,-26.5,87,0,0
149,-26,149.5,-25.5,10,0,0
149,-25,149.5,-24.5,8,0,0
149,-24,149.5,-23.5,31,0,0
149,-23,149.5,-22.5,8,0,0
149,-22,149.5,-21.5,303,2,0.66006600660066
149,-21,149.5,-20.5,9,0,0
150,-38,150.5,-37.5,30,9,30
150,-37,150.5,-36.5,854,70,8.19672131147541
150,-36,150.5,-35.5,3375,324,9.6
150,-35,150.5,-34.5,13510,151,1.11769059955588
150,-34,150.5,-33.5,19917,0,0
150,-33,150.5,-32.5,1228,0,0
150,-32,150.5,-31.5,544,0,0
150,-31,150.5,-30.5,198,0,0
150,-30,150.5,-29.5,101,0,0
150,-29,150.5,-28.5,77,0,0
150,-28,150.5,-27.5,13,0,0
150,-27,150.5,-26.5,35,0,0
150,-26,150.5,-25.5,7,0,0
