"measure","value"
"events",247406
"environmental_missing_events",4806
"environmental_missing_percent",1.94255596064768
"environmental_predictors",22
"distinct_missing_variable_counts_per_row",2
"all_environmental_predictors_missing_together",1
"species_missingness_cramers_v",0.0867297110430073
"species_complete_case_distribution_tvd",0.00491461958331586
"maximum_absolute_species_share_change_percentage_points",0.328950512862766
"month_missingness_cramers_v",0.02655358302697
"month_complete_case_distribution_tvd",0.00146405597471949
"year_missingness_cramers_v",0.0138371025399413
"year_complete_case_distribution_tvd",0.000811634279026916
"occupied_1deg_cells",318
"occupied_1deg_cells_with_missing_events",78
"top_10_1deg_cells_share_of_missing_events_percent",77.2367873491469
"median_missing_percent_in_1deg_cells_with_at_least_20_events",0
"maximum_missing_percent_in_1deg_cells_with_at_least_20_events",62.1848739495798
