"scientificName","events","missing_n","missing_percent","full_events","full_share","complete_case_events","complete_case_share","share_change_percentage_points"
"Litoria quiritatus",4579,253,5.52522384800175,4579,0.0185080394169907,4326,0.0178318219291014,-0.0676217487889295
"Limnodynastes peronii",45042,1673,3.71431108742951,45042,0.18205702367768,43369,0.178767518549052,-0.328950512862766
"Litoria gracilenta",4393,137,3.11859776917824,4393,0.0177562387330946,4256,0.0175432811211871,-0.0212957611907448
"Litoria infrafrenata",2154,58,2.69266480965645,2154,0.0087063369522162,2096,0.00863973619126134,-0.00666007609548599
"Litoria peronii",14867,385,2.58962803524585,14867,0.060091509502599,14482,0.0596949711459192,-0.0396538356679757
"Litoria caerulea",12397,307,2.47640558199564,12397,0.0501079197755915,12090,0.0498351195383347,-0.0272800237256829
"Crinia signifera",87536,1437,1.64161030890148,87536,0.353815186373815,86099,0.354901071723001,0.108588534918613
"Litoria pyrina",4566,64,1.40166447656592,4566,0.0184554942079012,4502,0.0185572959604287,0.0101801752527508
"Litoria fallax",17485,220,1.25822133257077,17485,0.0706733062253947,17265,0.0711665292662819,0.0493223040887253
"Litoria ewingii",9345,103,1.10219368646335,9345,0.0377719214570382,9242,0.0380956306677659,0.0323709210727642
"Crinia georgiana",2155,19,0.881670533642691,2155,0.00871037889137693,2136,0.00880461665292663,0.00942377615497023
"Limnodynastes dumerilii",7720,49,0.634715025906736,7720,0.0312037703208491,7671,0.0316199505358615,0.0416180215012371
"Litoria moorei",3579,22,0.61469684269349,3579,0.0144661002562589,3557,0.0146619950535861,0.0195894797327208
"Crinia glauerti",7179,32,0.445744532664716,7179,0.0290170812348933,7147,0.0294600164880462,0.0442935253152917
"Litoria verreauxii",2334,10,0.428449014567267,2334,0.00943388600114791,2324,0.0095795548227535,0.0145668821605592
"Limnodynastes tasmaniensis",12669,34,0.268371615754993,12669,0.0512073272273106,12635,0.0520816158285243,0.0874288601213746
"Adelotus brevis",5489,2,0.0364365093824012,5489,0.0221862040532566,5487,0.0226174773289365,0.043127327567993
"Crinia parinsignifera",3917,1,0.0255297421496043,3917,0.0158322756925863,3916,0.0161417971970322,0.0309521504445874
