"temporal_type","value","events","missing_n","missing_percent"
"month","1",19449,423,2.1749190189727
"month","2",14840,401,2.70215633423181
"month","3",14170,306,2.15949188426253
"month","4",10922,224,2.05090642739425
"month","5",10827,186,1.71792740371294
"month","6",12585,194,1.54151767977751
"month","7",17895,249,1.39145012573345
"month","8",22322,304,1.36188513574053
"month","9",26416,471,1.78301029678982
"month","10",29245,610,2.08582663703197
"month","11",47515,913,1.92149847416605
"month","12",21220,525,2.47408105560792
"year","2017",4475,98,2.18994413407821
"year","2018",14980,267,1.78237650200267
"year","2019",15605,263,1.68535725728933
"year","2020",38996,820,2.10277977228434
"year","2021",62271,1333,2.14064331711391
"year","2022",67243,1304,1.93923531073866
"year","2023",43836,721,1.64476685828999
