"feature","missing_n","missing_percent"
"BIO1",4806,1.94255596064768
"BIO2",4806,1.94255596064768
"BIO3",4806,1.94255596064768
"BIO4",4806,1.94255596064768
"BIO5",4806,1.94255596064768
"BIO6",4806,1.94255596064768
"BIO7",4806,1.94255596064768
"BIO8",4806,1.94255596064768
"BIO9",4806,1.94255596064768
"BIO10",4806,1.94255596064768
"BIO11",4806,1.94255596064768
"BIO12",4806,1.94255596064768
"BIO13",4806,1.94255596064768
"BIO14",4806,1.94255596064768
"BIO15",4806,1.94255596064768
"BIO16",4806,1.94255596064768
"BIO17",4806,1.94255596064768
"BIO18",4806,1.94255596064768
"BIO19",4806,1.94255596064768
"elevation",4806,1.94255596064768
"climatological_tavg_event_month",4806,1.94255596064768
"climatological_prec_event_month",4806,1.94255596064768
