cohort,variable,n,missing,median,q25,q75,mean,sd
multispecies_all,BIO1,211666,2009,17.125,14.387499809265137,18.899999618530273,16.865417957571985,3.1031191129932174
multispecies_eligible,BIO1,126071,1251,15.362500190734863,13.729166984558105,17.700000762939453,15.870967739611222,2.744969836095778
primary_single_species,BIO1,242600,4806,17.125,14.604166984558105,18.570833206176758,16.816482673914994,3.074049457983885
multispecies_all,BIO12,211666,2009,987,747,1254,1040.736032239394,376.37155263470027
multispecies_eligible,BIO12,126071,1251,890,731,1188,967.2447351095456,334.3023032512479
primary_single_species,BIO12,242600,4806,1002,765,1246,1045.2737551524972,370.30210049312706
multispecies_all,climatological_prec_event_month,211666,2009,83,64,114,98.56508839398235,61.33192000565906
multispecies_eligible,climatological_prec_event_month,126071,1251,77,62,100,87.68643859412367,47.17285355150938
primary_single_species,climatological_prec_event_month,242600,4806,79,59,109,91.65901071724286,57.64616703044715
multispecies_all,climatological_tavg_event_month,211666,2009,17.5,13.600000381469727,21.399999618530273,17.392210839821832,5.0672367658061015
multispecies_eligible,climatological_tavg_event_month,126071,1251,15.399999618530273,12.300000190734863,19.299999237060547,15.819558021446461,4.708824111669137
primary_single_species,climatological_tavg_event_month,242600,4806,17.100000381469727,12.800000190734863,20.899999618530273,16.843072549013275,5.235285354863356
multispecies_all,day_of_year,213675,0,275,185,316,234.44458172457712,108.30207251577038
multispecies_eligible,day_of_year,127322,0,270,207,313,238.66424498514814,98.55367490737217
primary_single_species,day_of_year,247406,0,244,128,310,215.32802761453752,107.12656836418033
multispecies_all,decimalLatitude,213675,0,-33.430693829463266,-35.7429,-29.351060099461442,-32.21649148599951,5.291270965765721
multispecies_eligible,decimalLatitude,127322,0,-34.4937,-37.28018905970946,-32.6618,-34.01308750341032,4.19602730732396
primary_single_species,decimalLatitude,247406,0,-33.75457183925144,-35.41611532899373,-31.034572856874004,-32.728205607963595,5.001791603493883
multispecies_all,decimalLongitude,213675,0,150.256,145.4198326818725,151.8992085043064,146.78403628329147,9.327277529129125
multispecies_eligible,decimalLongitude,127322,0,149.20291869663603,145.22550790092475,151.2464474797034,147.22672838699086,7.345858330102404
primary_single_species,decimalLongitude,247406,0,150.6151269889908,145.50997826128244,151.434,147.31226019961338,8.353527988982322
multispecies_all,elevation,211666,2009,98,35,275,210.62727126700972,253.92955410643052
multispecies_eligible,elevation,126071,1251,107,36,302,223.9889665346509,265.98841472979865
primary_single_species,elevation,242600,4806,76,26,218,187.5564633140971,255.07414179565995
