cohort,month,events,percent_of_cohort
multispecies_all,1,18146,8.492336492336491
multispecies_all,2,13300,6.224406224406224
multispecies_all,3,8927,4.177840177840178
multispecies_all,4,4471,2.0924300924300923
multispecies_all,5,3148,1.4732654732654733
multispecies_all,6,4667,2.1841581841581843
multispecies_all,7,7902,3.6981396981396983
multispecies_all,8,16109,7.539019539019539
multispecies_all,9,28847,13.5004095004095
multispecies_all,10,34017,15.91997191997192
multispecies_all,11,52380,24.513864513864515
multispecies_all,12,21761,10.184158184158184
multispecies_eligible,1,7902,6.206311556525973
multispecies_eligible,2,5917,4.6472722703067815
multispecies_eligible,3,5043,3.960823738238482
multispecies_eligible,4,3045,2.3915741191624384
multispecies_eligible,5,2190,1.720048381269537
multispecies_eligible,6,3593,2.821978919589702
multispecies_eligible,7,5675,4.457202997125399
multispecies_eligible,8,12206,9.586717142363456
multispecies_eligible,9,20267,15.917908923830916
multispecies_eligible,10,21677,17.025337333689386
multispecies_eligible,11,29912,23.4931904933947
multispecies_eligible,12,9895,7.771634124503228
primary_single_species,1,19449,7.8611674737071855
primary_single_species,2,14840,5.998237714525921
primary_single_species,3,14170,5.727427790756893
primary_single_species,4,10922,4.41460595135122
primary_single_species,5,10827,4.376207529324269
primary_single_species,6,12585,5.086780433780911
primary_single_species,7,17895,7.233050128129471
primary_single_species,8,22322,9.022416594585419
primary_single_species,9,26416,10.677186486988997
primary_single_species,10,29245,11.820651075560011
primary_single_species,11,47515,19.20527392221692
primary_single_species,12,21220,8.57699489907278
