species_a,species_b,cooccurring_events,events_with_a,events_with_b,jaccard,percent_of_a,percent_of_b
Crinia signifera,Limnodynastes tasmaniensis,26544,89084,46652,0.24309473221481429,29.79659647074671,56.89788219154592
Crinia signifera,Limnodynastes peronii,23835,89084,62882,0.18602055708610718,26.755646356248036,37.904328742724466
Litoria fallax,Litoria peronii,22526,48745,50213,0.29471948921917523,46.211919171197046,44.8608925975345
Limnodynastes peronii,Litoria fallax,18619,62882,48745,0.20018708068123173,29.609427181069304,38.196738126987384
Crinia signifera,Limnodynastes dumerilii,16422,89084,24066,0.1697750392854189,18.434286740604374,68.23734729493891
Crinia signifera,Litoria ewingii,16013,89084,19577,0.17283697435454623,17.975169502941043,81.79496347755018
Crinia signifera,Litoria verreauxii,15386,89084,21582,0.16148194794290513,17.27133940999506,71.2908905569456
Limnodynastes peronii,Litoria peronii,15198,62882,50213,0.15524479810412986,24.16907859164785,30.26706231454006
Crinia parinsignifera,Limnodynastes tasmaniensis,15019,28526,46652,0.24965508070280423,52.650213840005605,32.19368944525422
Crinia parinsignifera,Crinia signifera,13906,28526,89084,0.13409318830517628,48.74851013110846,15.609986080553186
Crinia signifera,Litoria peronii,11971,89084,50213,0.09401850368345821,13.437878855911276,23.840439726763986
Limnodynastes dumerilii,Limnodynastes tasmaniensis,11611,24066,46652,0.19644035393439016,48.246488822405055,24.88853639715339
Limnodynastes peronii,Limnodynastes tasmaniensis,7457,62882,46652,0.07305269551417068,11.858719506377023,15.984309354368516
Limnodynastes tasmaniensis,Litoria peronii,7329,46652,50213,0.08185534310221587,15.70993740889994,14.595821799135681
Crinia signifera,Litoria fallax,6994,89084,48745,0.05345664386440937,7.851017017646266,14.348138270591855
Adelotus brevis,Litoria fallax,6742,12091,48745,0.12463489481273339,55.76048300388719,13.831162170479024
Crinia parinsignifera,Litoria peronii,6608,28526,50213,0.09161109647724279,23.16483208301199,13.15993866130285
Litoria peronii,Litoria verreauxii,6313,50213,21582,0.0964081732384472,12.572441399637544,29.251227875081085
Crinia georgiana,Crinia glauerti,6118,7027,11734,0.48390413667642174,87.06418101608084,52.13908300664735
Adelotus brevis,Limnodynastes peronii,5625,12091,62882,0.08111264924727461,46.52220659995038,8.945326166470531
Limnodynastes peronii,Litoria verreauxii,5594,62882,21582,0.07092684163813871,8.896027480041983,25.919747938096563
Limnodynastes tasmaniensis,Litoria ewingii,5243,46652,19577,0.08597055061817466,11.238532110091743,26.781427184961945
Limnodynastes dumerilii,Litoria ewingii,5159,24066,19577,0.13405571146450473,21.436881908086097,26.35235225008939
Crinia parinsignifera,Limnodynastes dumerilii,4821,28526,24066,0.10091896757446987,16.90037159082942,20.032410870107206
Litoria caerulea,Litoria gracilenta,4674,15655,11743,0.205685618729097,29.856275950175664,39.80243549348548
Limnodynastes tasmaniensis,Litoria verreauxii,4275,46652,21582,0.06683969417908348,9.16359427248564,19.808173477898247
Adelotus brevis,Litoria peronii,4064,12091,50213,0.06978021978021978,33.611777355057484,8.093521597992552
Limnodynastes peronii,Litoria gracilenta,3830,62882,11743,0.05409986580973233,6.090773194236824,32.61517499787107
Limnodynastes dumerilii,Litoria peronii,3775,24066,50213,0.053543061386587994,15.686030083935844,7.517973433174676
Litoria fallax,Litoria verreauxii,3413,48745,21582,0.05100576859849957,7.00174376859165,15.814104346214439
Litoria caerulea,Litoria pyrina,3384,15655,10767,0.14688775067280146,21.616097093580326,31.42936751184174
Limnodynastes peronii,Litoria ewingii,3308,62882,19577,0.04179353387828328,5.260646925988359,16.897379578076315
