cohort,variable,n,missing,median,q25,q75,mean,sd
partial_overlap,BIO1,85595,758,18.304166793823242,16.799999237060547,19.670833587646484,18.330121893883216,3.018679206528324
recall_at_k_eligible,BIO1,126071,1251,15.362500190734863,13.729166984558105,17.700000762939453,15.870967739611222,2.744969836095778
partial_overlap,BIO12,85595,758,1127,826,1386,1148.9797534902957,407.4565707184793
recall_at_k_eligible,BIO12,126071,1251,890,731,1188,967.2447351095456,334.3023032512479
partial_overlap,climatological_prec_event_month,85595,758,97,71,143,114.58801331854653,74.78924549489292
recall_at_k_eligible,climatological_prec_event_month,126071,1251,77,62,100,87.68643859412367,47.17285355150938
partial_overlap,climatological_tavg_event_month,85595,758,20.100000381469727,16.600000381469727,23,19.708536717098028,4.672229120445447
recall_at_k_eligible,climatological_tavg_event_month,126071,1251,15.399999618530273,12.300000190734863,19.299999237060547,15.819558021446461,4.708824111669137
partial_overlap,day_of_year,86353,0,283,92,320,228.2229569325812,120.98653621257412
recall_at_k_eligible,day_of_year,127322,0,270,207,313,238.66424498514814,98.55367490737217
partial_overlap,decimalLatitude,86353,0,-30.4404,-33.391713914492534,-27.4007,-29.56752505601077,5.616259691526278
recall_at_k_eligible,decimalLatitude,127322,0,-34.4937,-37.28018905970946,-32.6618,-34.01308750341032,4.19602730732396
partial_overlap,decimalLongitude,86353,0,151.24296686626155,146.546,152.81708342037425,146.13131496466474,11.618711665354013
recall_at_k_eligible,decimalLongitude,127322,0,149.20291869663603,145.22550790092475,151.2464474797034,147.22672838699086,7.345858330102404
partial_overlap,elevation,85595,758,97,34,248,190.94712307961086,233.6584638191319
recall_at_k_eligible,elevation,126071,1251,107,36,302,223.9889665346509,265.98841472979865
