species,events,percent_of_extension,percent_of_ineligible
Litoria tyleri,13787,6.452322452322452,15.965861058677753
Litoria latopalmata,10759,5.035217035217035,12.459323937790233
Uperoleia laevigata,8332,3.8993798993798996,9.648767269232106
Uperoleia fusca,7879,3.6873756873756873,9.12417634592892
Litoria adelaidensis,6814,3.188955188955189,7.890866559355205
Rhinella marina,5648,2.643266643266643,6.540594999594687
Mixophyes fasciolatus,5282,2.471978471978472,6.1167533264623115
Platyplectrum ornatum,4971,2.3264303264303265,5.756603708035621
Litoria nasuta,4078,1.9085059085059084,4.722476347086957
Limnodynastes grayi,3836,1.7952497952497952,4.442231306381944
Litoria phyllochroa,3403,1.5926055926055926,3.940801130244462
Litoria dentata,3075,1.4391014391014392,3.5609648767269233
Limnodynastes dorsalis,2946,1.3787293787293786,3.411578057508135
Litoria rubella,2767,1.294957294957295,3.204289370375088
Uperoleia rugosa,1991,0.9317889317889317,2.30565238034579
Limnodynastes fletcheri,1967,0.9205569205569205,2.2778594837469455
Litoria chloris,1726,0.8077688077688078,1.9987724804002178
Litoria balatus,1712,0.8012168012168012,1.9825599573842252
Litoria inermis,1571,0.7352287352287352,1.819276689866015
Litoria rothii,1515,0.709020709020709,1.754426597802045
Litoria paraewingi,1490,0.6973206973206973,1.7254756638449156
Litoria ridibunda,1424,0.6664326664326664,1.6490451981980938
Litoria nudidigitus,1371,0.6416286416286416,1.5876692182089793
Crinia insignifera,1343,0.6285246285246285,1.5552441721769945
Limnodynastes convexiusculus,1294,0.6055926055926056,1.4985003416210207
Paracrinia haswelli,1278,0.5981045981045982,1.4799717438884579
Neobatrachus sudellae,1271,0.5948285948285948,1.4718654823804616
Limnodynastes salmini,1223,0.5723645723645724,1.4162796891827731
Litoria calliscelis,1093,0.5115245115245115,1.2657348326056999
Geocrinia leai,1029,0.48157248157248156,1.1916204416754486
Pseudophryne coriacea,1014,0.47455247455247457,1.1742498813011708
Cyclorana australis,986,0.46144846144846147,1.1418248352691858
Litoria revelata,897,0.4197964197964198,1.0387595103818048
Litoria wilcoxii,812,0.38001638001638,0.9403263349275648
Crinia tinnula,711,0.33274833274833276,0.8233645617407618
Litoria jervisiensis,666,0.3116883116883117,0.7712528806179287
Uperoleia tyleri,650,0.3042003042003042,0.7527242828853659
Cyclorana alboguttata,638,0.2985842985842986,0.7388278345859437
Litoria xanthomera,634,0.2967122967122967,0.734195685152803
Uperoleia altissima,627,0.29343629343629346,0.7260894236448068
Crinia deserticola,623,0.2915642915642916,0.72145727421166606
Crinia pseudinsignifera,591,0.2765882765882766,0.6844000787465404
Cyclorana novaehollandiae,577,0.27003627003627,0.6681875557305479
Litoria bicolor,541,0.25318825318825317,0.6264982108322814
Limnodynastes interioris,521,0.24382824382824383,0.6033374636665779
Pseudophryne australis,499,0.23353223353223354,0.577860641784304
Litoria barringtonensis,497,0.2325962325962326,0.5755445670677336
Pseudophryne raveni,467,0.21855621855621857,0.5408034463191782
Crinia tasmaniensis,343,0.16052416052416052,0.39720681389181617
Cyclorana brevipes,328,0.1535041535041535,0.37983625351753847
Geocrinia victoriana,261,0.12214812214812215,0.3022477505124315
Limnodynastes superciliaris,252,0.11793611793611794,0.2918254142878649
Mixophyes coggeri,227,0.10623610623610624,0.26287448033073546
Litoria citropa,222,0.1038961038961039,0.25708429353930956
Litoria freycineti,208,0.09734409734409734,0.24087177052331707
Cyclorana longipes,192,0.08985608985608985,0.22234317279075422
Cyclorana cultripes,188,0.08798408798408798,0.21771102335761353
Uperoleia lithomoda,185,0.08658008658008658,0.21423691128275799
Austrochaperina pluvialis,166,0.07768807768807769,0.1922342014753396
Litoria spaldingi,165,0.07722007722007722,0.19107616411705441
Cophixalus ornatus,155,0.07254007254007254,0.17949579053420264
Litoria nigrofrenata,154,0.07207207207207207,0.17833775317591746
Cyclorana platycephala,153,0.0716040716040716,0.17717971581763228
Crinia remota,146,0.06832806832806833,0.16907345430963602
Cophixalus australis,144,0.06739206739206739,0.16675737959306566
Litoria pearsoniana,143,0.06692406692406692,0.16559934223478048
Litoria lesueuri,140,0.06552006552006552,0.16212523015992497
Uperoleia mimula,140,0.06552006552006552,0.16212523015992497
Notaden bennettii,131,0.06130806130806131,0.15170289393535835
Austrochaperina robusta,114,0.053352053352053355,0.13201625884451032
Litoria microbelos,110,0.05148005148005148,0.1273841094113696
Papurana daemeli,102,0.04773604773604773,0.11811981054508819
Crinia subinsignifera,99,0.04633204633204633,0.11464569847023265
Cyclorana verrucosa,98,0.04586404586404586,0.11348766111194747
Neobatrachus pictus,95,0.04446004446004446,0.11001354903709194
Heleioporus eyrei,86,0.04024804024804025,0.09959121281252534
Geocrinia sparsiflora,77,0.036036036036036036,0.08916887658795873
Uperoleia crassa,73,0.034164034164034164,0.08453672715481801
Geocrinia laevis,59,0.027612027612027613,0.06832420413882552
Litoria serrata,58,0.027144027144027146,0.06716616678054034
Litoria tornieri,56,0.02620802620802621,0.06485009206396998
Pseudophryne semimarmorata,55,0.02574002574002574,0.0636920547056848
Austrochaperina gracilipes,51,0.023868023868023867,0.059059905272544094
Notaden melanoscaphus,46,0.021528021528021527,0.0532697184811182
Litoria electrica,45,0.02106002106002106,0.05211168112283302
Litoria jungguy,45,0.02106002106002106,0.05211168112283302
Litoria pallida,43,0.020124020124020123,0.04979560640626267
Litoria sibilus,43,0.020124020124020123,0.04979560640626267
Anstisia rosea,33,0.015444015444015444,0.03821523282341088
Austrochaperina fryi,31,0.014508014508014509,0.03589915810684053
Uperoleia littlejohni,30,0.01404001404001404,0.03474112074855535
Crinia bilingua,24,0.011232011232011231,0.027792896598844277
Litoria bella,23,0.010764010764010764,0.0266348592405591
Lechriodus fletcheri,19,0.008892008892008892,0.022002709807418388
Litoria cyclorhyncha,18,0.008424008424008424,0.020844672449133208
Cyclorana manya,16,0.007488007488007488,0.01852859773256285
Pseudophryne guentheri,16,0.007488007488007488,0.01852859773256285
Limnodynastes terraereginae,15,0.00702000702000702,0.017370560374277675
Cyclorana maini,11,0.005148005148005148,0.01273841094113696
Notaden nichollsi,11,0.005148005148005148,0.01273841094113696
