k,eligible_events,events_fully_recoverable,percent_fully_recoverable,max_mean_recall_at_k
1,127322,0,0,0.4381221757957474
2,127322,86982,68.31655173497117,0.8762443515914948
3,127322,115350,90.59706884905985,0.9727837687123931
4,127322,124525,97.8032076153375,0.9950547954529979
5,127322,126839,99.62064686385699,0.9993104752779033
6,127322,127263,99.95366079703429,0.9999312766057711
7,127322,127319,99.99764376934073,0.9999970547116759
8,127322,127322,100,1
9,127322,127322,100,1
10,127322,127322,100,1
