species,primary_events,multi_events,eligible_multi_events,mean_species_per_event,mean_target_partners,total_events,multi_share_percent,eligibility_rate_percent,primary_share_percent,multi_appearance_share_percent
Crinia signifera,87536,89084,72145,2.7339028332809483,1.5111580081720644,176620,50.438228966142,80.98536213012437,35.38151863738147,18.952308618573195
Limnodynastes peronii,45042,62882,43271,2.948761171718457,1.5098597372857052,107924,58.26507542344613,68.81301485321714,18.20570236776796,13.377924998351215
Litoria fallax,17485,48745,21834,3.3015693917324853,1.4864909221458458,66230,73.59957723086215,44.79228638834752,7.06733062253947,10.370327821071688
Litoria peronii,14867,50213,25977,3.3728118216398144,1.658534642423385,65080,77.15580823601721,51.73361480094796,6.0091509502598965,10.682639673391582
Limnodynastes tasmaniensis,12669,46652,36226,3.0802323587413185,1.7672554231329263,59321,78.64331349774953,77.6515476292549,5.1207327227310575,9.925049410373093
Litoria caerulea,12397,15655,5329,3.2999041839667838,1.0402427339507934,28052,55.80707257949523,34.04024273395081,5.010791977559154,3.330546354269716
Litoria ewingii,9345,19577,18758,2.8684170199724166,1.8257649282321022,28922,67.6889565036996,95.81651938499259,3.7771921457038227,4.164938101407744
Limnodynastes dumerilii,7720,24066,21814,3.0868445109282807,1.9800548491647763,31786,75.71257786446863,90.64240006648383,3.120377032084913,5.119957110306929
Crinia glauerti,7179,11734,5252,2.4197204704278166,0.6716379751150444,18913,62.04198170570507,44.758820521561276,2.901708123489325,2.496367353625094
Adelotus brevis,5489,12091,5533,3.398230088495575,1.631709536018509,17580,68.77701934015927,45.76131006533785,2.218620405325659,2.5723178517710084
Litoria quiritatus,4579,4163,3059,3.0792697573865,1.73720874369445,8742,47.62068176618623,73.48066298342542,1.8508039416990696,0.8856636520488551
Litoria pyrina,4566,10767,3045,3.5544719977709667,1.1932757499767723,15333,70.2210917628644,28.280858177765396,1.8455494207901182,2.2906414945015667
Litoria gracilenta,4393,11743,5249,3.166652473814187,1.3578301967129323,16136,72.77516113039167,44.69896959890999,1.775623873309459,2.4982820720657473
Crinia parinsignifera,3917,28526,19561,3.261796256047115,1.7773610039964263,32443,87.92651727645409,68.57253032321391,1.5832275692586275,6.068806470897344
Litoria moorei,3579,4090,659,2.584596577017115,0.5019559902200473,7669,53.33159473203808,16.112469437652813,1.4466100256258942,0.8701331580302227
Litoria verreauxii,2334,21582,17285,3.2658233713279583,2.022518765638065,23916,90.24084295032614,80.08988972291725,0.9433886001147911,4.591494820686618
Crinia georgiana,2155,7027,4741,2.3718514301978084,0.9119111996584599,9182,76.5301677194511,67.46833641667853,0.8710378891376926,1.494969609163417
Litoria infrafrenata,2154,1446,560,2.6798063623789763,0.7627939142461971,3600,40.166666666666664,38.727524204702625,0.8706336952216195,0.30763142946496386
