"measure","value"
"frogid_taxa_in_retention_table",216
"confirmed_epbc_listed_taxa",24
"unresolved_listed_subspecies_only_taxa",2
"selected_target_taxa",18
"selected_confirmed_epbc_listed_taxa",0
"selected_unresolved_listed_subspecies_only_taxa",1
"all_raw_recording_events",542287
"all_clean_recording_events",519414
"confirmed_listed_raw_recording_events",6749
"confirmed_listed_clean_recording_events",0
"confirmed_listed_retention_percent",0
"confirmed_listed_raw_single_species_events",1627
"confirmed_listed_clean_single_species_events",0
"other_unresolved_raw_recording_events",540647
"other_unresolved_clean_recording_events",519414
"other_unresolved_retention_percent",96.0726684879413
"listed_other_scope_overlap_events",5109
"endangered_vulnerable_category_overlap_events",8
"listed_events_uncertainty_over_1000m",6749
"listed_events_obscured_geoprivacy",6749
"listed_events_generalised_location",6749
"listed_events_inferred_three_way_overlap",6749
