"group_type","folds","groups","groups_with_multiple_events","events","expected_groups_spanning_multiple_folds","expected_groups_spanning_multiple_folds_percent","expected_repeated_groups_spanning_multiple_folds_percent","expected_events_in_groups_spanning_multiple_folds","expected_events_in_groups_spanning_multiple_folds_percent","expected_repeated_group_events_spanning_multiple_folds_percent"
"exact_coordinate",3,188063,15316,247406,12236.2190199154,6.50644678640426,79.8917407933888,68055.1879851304,27.5074929408059,91.1547006859593
"exact_coordinate",5,188063,15316,247406,13566.483914975,7.21379745881698,88.5771997582592,71023.6950560199,28.7073454386797,95.130788057729
"exact_coordinate",10,188063,15316,247406,14473.5113923865,7.69609726122973,94.499290887872,72943.440768001,29.48329497587,97.7021400875996
"0.25_degree_cell",3,1872,1614,247406,1545.90163198111,82.5802153836064,95.7807702590528,246990.267987666,99.8319636498976,99.9361791265419
"0.25_degree_cell",5,1872,1614,247406,1577.61439835488,84.2742734163933,97.7456256725454,247069.429042036,99.8639600664639,99.9682089444526
"0.25_degree_cell",10,1872,1614,247406,1597.12016493633,85.3162481269408,98.9541613963031,247113.053130089,99.8815926574494,99.985859942257
"0.5_degree_cell",3,762,671,247406,647.848784423339,85.0195255148738,96.5497443253858,247261.035279072,99.9414061417556,99.9781797622756
"0.5_degree_cell",5,762,671,247406,658.698568742056,86.4433817246792,98.1667017499338,247288.338655965,99.9524420005839,99.9892196817681
"0.5_degree_cell",10,762,671,247406,665.315452198625,87.3117391336778,99.152824470734,247303.208993475,99.9584525005355,99.9952323932939
"1_degree_cell",3,318,286,247406,276.769261570718,87.0343589845026,96.7724690806707,247352.571167061,99.9784043907833,99.991337475669
"1_degree_cell",5,318,286,247406,281.090719848639,88.3933081285029,98.2834684785451,247363.346906118,99.9827598789514,99.9956935272577
"1_degree_cell",10,318,286,247406,283.737243382656,89.2255482335396,99.208826357572,247369.298152936,99.9851653367081,99.9980992961816
"2_degree_cell",3,132,124,247406,120.738797935077,91.4687863144522,97.3699983347394,247390.078802689,99.9935647489105,99.9967981967071
"2_degree_cell",5,132,124,247406,122.327115938823,92.6720575294112,98.6508999506635,247394.298397395,99.9952702834187,99.9985037863664
"2_degree_cell",10,132,124,247406,123.24147659868,93.3647549989999,99.3882875795806,247396.415355786,99.9961259451212,99.9993594757381
