"pair_species_1","pair_species_2","cooccurring_events","events_with_species_1","events_with_species_2","cooccurrence_jaccard","geographic_jaccard_05deg","geographic_overlap_coefficient_05deg","geographic_jaccard_1deg","geographic_overlap_coefficient_1deg"
"Crinia georgiana","Crinia glauerti",6118,7027,11734,0.483904136676422,0.714285714285714,0.925925925925926,0.875,1
"Litoria fallax","Litoria peronii",22526,48745,50213,0.294719489219175,0.281733746130031,0.669117647058823,0.340909090909091,0.725806451612903
"Crinia parinsignifera","Limnodynastes tasmaniensis",15019,28526,46652,0.249655080702804,0.412026726057906,0.920398009950249,0.408839779005525,0.948717948717949
"Crinia signifera","Limnodynastes tasmaniensis",26544,89084,46652,0.243094732214814,0.470363288718929,0.732142857142857,0.462686567164179,0.794871794871795
"Litoria caerulea","Litoria gracilenta",4674,15655,11743,0.205685618729097,0.254480286738351,0.946666666666667,0.211538461538462,0.942857142857143
"Limnodynastes peronii","Litoria fallax",18619,62882,48745,0.200187080681232,0.469387755102041,0.845588235294118,0.557692307692308,0.935483870967742
"Limnodynastes dumerilii","Limnodynastes tasmaniensis",11611,24066,46652,0.19644035393439,0.388090349075975,0.777777777777778,0.404145077720207,0.829787234042553
"Crinia signifera","Limnodynastes peronii",23835,89084,62882,0.186020557086107,0.435897435897436,0.758928571428571,0.539007092198582,0.76
"Crinia signifera","Litoria ewingii",16013,89084,19577,0.172836974354546,0.321637426900585,0.948275862068966,0.38655462184874,0.958333333333333
"Crinia signifera","Limnodynastes dumerilii",16422,89084,24066,0.169775039285419,0.590659340659341,0.88477366255144,0.688,0.914893617021277
"Crinia signifera","Litoria verreauxii",15386,89084,21582,0.161481947942905,0.3125,1,0.358974358974359,1
"Limnodynastes peronii","Litoria peronii",15198,62882,50213,0.15524479810413,0.394444444444444,0.633928571428571,0.493055555555556,0.71
"Litoria caerulea","Litoria pyrina",3384,15655,10767,0.146887750672801,0.31740614334471,0.837837837837838,0.29375,0.886792452830189
"Crinia parinsignifera","Crinia signifera",13906,28526,89084,0.134093188305176,0.329207920792079,0.661691542288557,0.402877697841727,0.717948717948718
"Limnodynastes dumerilii","Litoria ewingii",5159,24066,19577,0.134055711464505,0.305454545454545,0.724137931034483,0.392156862745098,0.833333333333333
"Crinia glauerti","Litoria moorei",1763,11734,4090,0.125382262996942,0.43859649122807,0.925925925925926,0.481481481481481,0.928571428571429
"Adelotus brevis","Litoria fallax",6742,12091,48745,0.124634894812733,0.367647058823529,1,0.354838709677419,1
