"cohort","distance_bin","cell_pairs","median_geographic_distance_km","median_environmental_distance","median_composition_tvd","q25_composition_tvd","q75_composition_tvd","spearman_environment_vs_composition","spearman_geography_vs_composition","spearman_geography_vs_environment"
"all_environment_usable_cells","<50",450,45.956310547308,0.82479350115429,0.273543300203909,0.165021896084011,0.487416844729191,0.0170534251328125,0.280288152218385,0.0198259900000188
"all_environment_usable_cells","50-100",2040,72.0448914376437,1.07594405314046,0.346738684987904,0.199578859871099,0.576782363977486,0.0334457125033965,0.162209418122009,0.182084829946022
"all_environment_usable_cells","100-250",13033,184.801516962762,1.95507075472854,0.5,0.295320688646992,0.747257569109258,0.119372677906414,0.146016662123752,0.186002775074344
"all_environment_usable_cells","250-500",31043,384.43352759533,2.9042531124139,0.692307692307692,0.405053940162817,0.896250145938346,0.265220393104751,0.0963157664334872,0.168700369207484
"all_environment_usable_cells","500-1000",69867,737.452127495528,4.0390870601211,0.8,0.5,0.965189873417721,0.348549140918218,0.0965831667251018,0.2292075908835
"all_environment_usable_cells","1000+",171987,1955.74581996536,6.00670497176818,1,0.928571428571429,1,0.212991051825263,0.522212132390516,0.252953367084367
"both_cells_at_least_20_events","<50",254,45.4032136349998,1.05372708878371,0.249314791022156,0.143122179427326,0.361904922939118,0.222715098301622,0.374851068113199,0.31281734994335
"both_cells_at_least_20_events","50-100",1037,71.6922040912655,1.36642452977525,0.275,0.185015932917137,0.412878787878788,0.220373626146467,0.179887167786607,0.268497209134792
"both_cells_at_least_20_events","100-250",6050,179.0003449098,2.34780678846059,0.383702941274329,0.252391330178483,0.570410254778271,0.323218973769332,0.174512380357643,0.165985881606472
"both_cells_at_least_20_events","250-500",11535,379.254780012412,3.147877913104,0.490816829820851,0.316983765278286,0.728813559322034,0.3748748798025,0.0424684137965944,0.105667384633874
"both_cells_at_least_20_events","500-1000",21425,724.524552858775,3.93071219545291,0.558558558558559,0.346253795442733,0.798076923076923,0.32543071967558,0.0994318505327698,0.216690631622028
"both_cells_at_least_20_events","1000+",35944,1738.4590747737,5.28944861011235,0.983027932416444,0.812048717007858,1,0.173111158096847,0.759119650130674,0.226830403019413
