"distance_bin","environmental_distance_quartile","cell_pairs","median_environmental_distance","median_composition_tvd","q25_composition_tvd","q75_composition_tvd"
"<50",1,64,0.412509091537201,0.20799843193911,0.132204403876987,0.326513188370967
"<50",2,64,0.843831688722502,0.191955258381771,0.128925110033959,0.313426565230737
"<50",3,63,1.35925772387931,0.256656050955414,0.17138465399335,0.312217857846719
"<50",4,63,3.17776255502031,0.317099935671851,0.230725181555705,0.481813823062446
"50-100",1,260,0.560652231626813,0.241660655016136,0.166188961194766,0.369251713632902
"50-100",2,259,1.07636731055332,0.244656119328465,0.16068034961382,0.352656938537799
"50-100",3,259,1.79603431868312,0.298014749571843,0.196641468565842,0.419267890577781
"50-100",4,259,3.71831502928464,0.346727734069547,0.231668388929452,0.482975609749089
"100-250",1,1513,1.02797975703379,0.299956250683583,0.204247104247104,0.458054765291607
"100-250",2,1513,1.90661990183153,0.333928925947985,0.229026081460413,0.511678045274883
"100-250",3,1512,2.89671250021373,0.40234351863272,0.27953644116297,0.581982551972404
"100-250",4,1512,4.71529389909952,0.524533310078492,0.359642804373522,0.678221238865595
"250-500",1,2884,1.64534135106421,0.359513970877607,0.248035907032816,0.527961924159584
"250-500",2,2884,2.60585521283163,0.430726436427176,0.287637270572311,0.64996005939834
"250-500",3,2884,3.72470740819355,0.551577775282581,0.353731472539469,0.761928032173261
"250-500",4,2883,5.16415000501504,0.679555966697502,0.465050837767597,0.856356517524457
"500-1000",1,5357,2.43992060563012,0.430913348946136,0.283716707021792,0.625521984770327
"500-1000",2,5356,3.4446662549645,0.512820512820513,0.334941450128433,0.701852945247281
"500-1000",3,5356,4.47627929289984,0.622222222222222,0.38401890545539,0.842417998442489
"500-1000",4,5356,6.03083908011423,0.77030404283862,0.433748890664715,0.925961745110681
"1000+",1,8986,3.614730033928,0.955313984106832,0.696161495340577,1
"1000+",2,8986,4.73485919172002,0.939827345597927,0.711730255734466,1
"1000+",3,8986,6.0501496500519,0.966666666666667,0.821233159495871,1
"1000+",4,8986,9.54755059047299,1,0.959459459459459,1
