"measure","value"
"species_pairs",153
"cooccurrence_vs_geographic_jaccard_spearman_05deg",0.95461297075809
"cooccurrence_vs_geographic_jaccard_spearman_1deg",0.948066339556094
"occupied_05deg_cells",762
"environment_usable_05deg_cells",760
"stable_environment_usable_05deg_cells",391
"all_environment_usable_cell_pairs",288420
"stable_cell_pairs",76245
"static_environment_predictors",20
"static_environment_pcs_for_90_percent_variance",4
"static_environment_variance_captured_by_retained_pcs",0.900385420843797
"all_pairs_environment_vs_composition_spearman",0.467843505569706
"all_pairs_geography_vs_composition_spearman",0.642335446273128
"all_pairs_geography_vs_environment_spearman",0.573636608395339
"all_pairs_partial_environment_vs_composition_controlling_geography",0.158296788394253
"all_pairs_partial_geography_vs_composition_controlling_environment",0.516567673840446
"stable_pairs_environment_vs_composition_spearman",0.503367873578594
"stable_pairs_geography_vs_composition_spearman",0.719419133227664
"stable_pairs_geography_vs_environment_spearman",0.561614500975731
"stable_pairs_partial_environment_vs_composition_controlling_geography",0.172843386080719
"stable_pairs_partial_geography_vs_composition_controlling_environment",0.610855474960899
