"component","variance","variance_share","cumulative_variance_share"
"PC1",8.56827933360196,0.428413966680098,0.428413966680098
"PC2",6.22109572651348,0.311054786325674,0.739468753005771
"PC3",2.22886427910119,0.111443213955059,0.850911966960831
"PC4",0.989469077659329,0.0494734538829664,0.900385420843797
"PC5",0.723527842113425,0.0361763921056712,0.936561812949468
"PC6",0.484441046575725,0.0242220523287862,0.960783865278255
"PC7",0.3665273238334,0.01832636619167,0.979110231469924
"PC8",0.195574579806927,0.00977872899034635,0.988888960460271
"PC9",0.086943642715301,0.00434718213576505,0.993236142596036
"PC10",0.0563973160599031,0.00281986580299516,0.996056008399031
"PC11",0.0293378608390391,0.00146689304195196,0.997522901440983
"PC12",0.0187047775893026,0.000935238879465127,0.998458140320448
"PC13",0.00964964270753802,0.000482482135376901,0.998940622455825
"PC14",0.00890729879857528,0.000445364939928764,0.999385987395754
"PC15",0.0072089352465389,0.000360446762326945,0.999746434158081
"PC16",0.00275078957473294,0.000137539478736647,0.999883973636817
"PC17",0.00149632347153016,7.48161735765077e-05,0.999958789810394
"PC18",0.000426860115407795,2.13430057703897e-05,0.999980132816164
"PC19",0.000253793463642663,1.26896731821332e-05,0.999992822489346
"PC20",0.000143550213072047,7.17751065360235e-06,1
