position,feature,feature_group,primary_R_type,multispecies_R_type,primary_numeric,multispecies_numeric
1,decimalLatitude,geographic,double,double,TRUE,TRUE
2,decimalLongitude,geographic,double,double,TRUE,TRUE
3,month,temporal,integer,integer,TRUE,TRUE
4,day_of_year,temporal,integer,integer,TRUE,TRUE
5,month_sin,temporal,double,double,TRUE,TRUE
6,month_cos,temporal,double,double,TRUE,TRUE
7,day_of_year_sin,temporal,double,double,TRUE,TRUE
8,day_of_year_cos,temporal,double,double,TRUE,TRUE
9,BIO1,environmental,double,double,TRUE,TRUE
10,BIO2,environmental,double,double,TRUE,TRUE
11,BIO3,environmental,double,double,TRUE,TRUE
12,BIO4,environmental,double,double,TRUE,TRUE
13,BIO5,environmental,double,double,TRUE,TRUE
14,BIO6,environmental,double,double,TRUE,TRUE
15,BIO7,environmental,double,double,TRUE,TRUE
16,BIO8,environmental,double,double,TRUE,TRUE
17,BIO9,environmental,double,double,TRUE,TRUE
18,BIO10,environmental,double,double,TRUE,TRUE
19,BIO11,environmental,double,double,TRUE,TRUE
20,BIO12,environmental,double,double,TRUE,TRUE
21,BIO13,environmental,double,double,TRUE,TRUE
22,BIO14,environmental,double,double,TRUE,TRUE
23,BIO15,environmental,double,double,TRUE,TRUE
24,BIO16,environmental,double,double,TRUE,TRUE
25,BIO17,environmental,double,double,TRUE,TRUE
26,BIO18,environmental,double,double,TRUE,TRUE
27,BIO19,environmental,double,double,TRUE,TRUE
28,elevation,environmental,integer,integer,TRUE,TRUE
29,climatological_tavg_event_month,environmental,double,double,TRUE,TRUE
30,climatological_prec_event_month,environmental,double,double,TRUE,TRUE
