scientificName,clean_single_species_events,selected,epbc_listed,epbc_category,epbc_match_status,epbc_listed_subordinate_taxa
Crinia signifera,87536,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes peronii,45042,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria fallax,17485,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria peronii,14867,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes tasmaniensis,12669,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria caerulea,12397,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria ewingii,9345,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes dumerilii,7720,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia glauerti,7179,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Adelotus brevis,5489,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria quiritatus,4579,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria pyrina,4566,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria gracilenta,4393,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia parinsignifera,3917,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria moorei,3579,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria verreauxii,2334,TRUE,NA,NA,unresolved_listed_subspecies_only,Litoria verreauxii alpina
Crinia georgiana,2155,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria infrafrenata,2154,TRUE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria adelaidensis,1980,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Heleioporus eyrei,1970,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria rubella,1866,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne australis,1699,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes dorsalis,1674,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia insignifera,1624,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne coriacea,1504,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria phyllochroa,1487,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria dentata,1423,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia tinnula,1291,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Mixophyes fasciolatus,1260,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria latopalmata,1251,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria ridibunda,1180,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Geocrinia leai,1124,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Rhinella marina,1108,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes convexiusculus,1081,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria nudidigitus,1077,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria chloris,964,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria nasuta,813,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
