dataset,month,events
raw,1,46269
raw,2,35291
raw,3,29038
raw,4,21116
raw,5,19002
raw,6,21190
raw,7,30340
raw,8,43475
raw,9,61685
raw,10,70853
raw,11,112715
raw,12,51313
clean,1,44549
clean,2,33705
clean,3,27552
clean,4,19445
clean,5,17782
clean,6,20057
clean,7,28669
clean,8,41688
clean,9,59414
clean,10,68378
clean,11,109080
clean,12,49095
primary,1,19449
primary,2,14840
primary,3,14170
primary,4,10922
primary,5,10827
primary,6,12585
primary,7,17895
primary,8,22322
primary,9,26416
primary,10,29245
primary,11,47515
primary,12,21220
multispecies,1,18146
multispecies,2,13300
multispecies,3,8927
multispecies,4,4471
multispecies,5,3148
multispecies,6,4667
multispecies,7,7902
multispecies,8,16109
multispecies,9,28847
multispecies,10,34017
multispecies,11,52380
multispecies,12,21761
