dataset,year,events
raw,2017,8397
raw,2018,34412
raw,2019,35235
raw,2020,92072
raw,2021,140115
raw,2022,147735
raw,2023,84321
clean,2017,8014
clean,2018,32307
clean,2019,33108
clean,2020,87130
clean,2021,134167
clean,2022,142506
clean,2023,82182
primary,2017,4475
primary,2018,14980
primary,2019,15605
primary,2020,38996
primary,2021,62271
primary,2022,67243
primary,2023,43836
multispecies,2017,2688
multispecies,2018,12011
multispecies,2019,12949
multispecies,2020,37645
multispecies,2021,57866
multispecies,2022,61061
multispecies,2023,29455
