scientificName,clean_single_species_events,selected,threshold_used
Crinia signifera,87536,TRUE,2000
Limnodynastes peronii,45042,TRUE,2000
Litoria fallax,17485,TRUE,2000
Litoria peronii,14867,TRUE,2000
Limnodynastes tasmaniensis,12669,TRUE,2000
Litoria caerulea,12397,TRUE,2000
Litoria ewingii,9345,TRUE,2000
Limnodynastes dumerilii,7720,TRUE,2000
Crinia glauerti,7179,TRUE,2000
Adelotus brevis,5489,TRUE,2000
Litoria quiritatus,4579,TRUE,2000
Litoria pyrina,4566,TRUE,2000
Litoria gracilenta,4393,TRUE,2000
Crinia parinsignifera,3917,TRUE,2000
Litoria moorei,3579,TRUE,2000
Litoria verreauxii,2334,TRUE,2000
Crinia georgiana,2155,TRUE,2000
Litoria infrafrenata,2154,TRUE,2000
Litoria adelaidensis,1980,FALSE,2000
Heleioporus eyrei,1970,FALSE,2000
Litoria rubella,1866,FALSE,2000
Pseudophryne australis,1699,FALSE,2000
Limnodynastes dorsalis,1674,FALSE,2000
Crinia insignifera,1624,FALSE,2000
Pseudophryne coriacea,1504,FALSE,2000
Litoria phyllochroa,1487,FALSE,2000
Litoria dentata,1423,FALSE,2000
Crinia tinnula,1291,FALSE,2000
Mixophyes fasciolatus,1260,FALSE,2000
Litoria latopalmata,1251,FALSE,2000
Litoria ridibunda,1180,FALSE,2000
Geocrinia leai,1124,FALSE,2000
Rhinella marina,1108,FALSE,2000
Limnodynastes convexiusculus,1081,FALSE,2000
Litoria nudidigitus,1077,FALSE,2000
Litoria chloris,964,FALSE,2000
Litoria nasuta,813,FALSE,2000
Geocrinia victoriana,807,FALSE,2000
Litoria xanthomera,771,FALSE,2000
Pseudophryne raveni,751,FALSE,2000
Litoria balatus,728,FALSE,2000
Platyplectrum ornatum,714,FALSE,2000
Crinia tasmaniensis,674,FALSE,2000
Crinia pseudinsignifera,667,FALSE,2000
Litoria calliscelis,637,FALSE,2000
Litoria tyleri,620,FALSE,2000
Litoria paraewingi,505,FALSE,2000
Limnodynastes grayi,461,FALSE,2000
Litoria inermis,449,FALSE,2000
Uperoleia laevigata,428,FALSE,2000
Uperoleia fusca,423,FALSE,2000
Papurana daemeli,411,FALSE,2000
Pseudophryne guentheri,376,FALSE,2000
Limnodynastes salmini,375,FALSE,2000
Limnodynastes fletcheri,359,FALSE,2000
Geocrinia sparsiflora,341,FALSE,2000
Cophixalus ornatus,337,FALSE,2000
Crinia remota,307,FALSE,2000
Mixophyes coggeri,303,FALSE,2000
Litoria spaldingi,288,FALSE,2000
Litoria bicolor,277,FALSE,2000
Cophixalus australis,268,FALSE,2000
Litoria barringtonensis,238,FALSE,2000
Litoria rothii,235,FALSE,2000
Crinia deserticola,210,FALSE,2000
Litoria jungguy,198,FALSE,2000
Neobatrachus sudellae,198,FALSE,2000
Litoria larisonans,195,FALSE,2000
Austrochaperina pluvialis,182,FALSE,2000
Geocrinia laevis,181,FALSE,2000
Litoria pearsoniana,178,FALSE,2000
Austrochaperina robusta,166,FALSE,2000
Litoria revelata,161,FALSE,2000
Metacrinia nichollsi,145,FALSE,2000
Uperoleia rugosa,135,FALSE,2000
Limnodynastes interioris,119,FALSE,2000
Pseudophryne semimarmorata,113,FALSE,2000
Litoria jervisiensis,112,FALSE,2000
Litoria freycineti,107,FALSE,2000
Litoria wilcoxii,107,FALSE,2000
Paracrinia haswelli,106,FALSE,2000
Litoria sibilus,104,FALSE,2000
Cyclorana australis,103,FALSE,2000
Austrochaperina fryi,101,FALSE,2000
Crinia bilingua,101,FALSE,2000
Uperoleia altissima,89,FALSE,2000
Uperoleia saxatilis,87,FALSE,2000
Uperoleia crassa,81,FALSE,2000
Litoria serrata,79,FALSE,2000
Heleioporus albopunctatus,76,FALSE,2000
Litoria cyclorhyncha,62,FALSE,2000
Mixophyes carbinensis,57,FALSE,2000
Myobatrachus gouldii,53,FALSE,2000
Cyclorana maini,51,FALSE,2000
Litoria nigrofrenata,48,FALSE,2000
Crinia subinsignifera,46,FALSE,2000
Austrochaperina gracilipes,44,FALSE,2000
Neobatrachus pictus,40,FALSE,2000
Neobatrachus kunapalari,39,FALSE,2000
Limnodynastes superciliaris,34,FALSE,2000
Uperoleia tyleri,31,FALSE,2000
Litoria citropa,30,FALSE,2000
Platyplectrum spenceri,30,FALSE,2000
Lechriodus fletcheri,29,FALSE,2000
Pseudophryne occidentalis,29,FALSE,2000
Austrochaperina adelphe,28,FALSE,2000
Crinia nimbus,26,FALSE,2000
Anstisia rosea,25,FALSE,2000
Heleioporus barycragus,25,FALSE,2000
Litoria lesueuri,24,FALSE,2000
Litoria microbelos,24,FALSE,2000
Litoria pallida,23,FALSE,2000
Cyclorana novaehollandiae,22,FALSE,2000
Litoria coplandi,22,FALSE,2000
Litoria watjulumensis,20,FALSE,2000
Uperoleia lithomoda,20,FALSE,2000
Uperoleia mimula,19,FALSE,2000
Uperoleia borealis,16,FALSE,2000
Uperoleia talpa,14,FALSE,2000
Litoria tornieri,13,FALSE,2000
Litoria bella,12,FALSE,2000
Notaden bennettii,12,FALSE,2000
Anstisia lutea,11,FALSE,2000
Neobatrachus sutor,11,FALSE,2000
Heleioporus psammophilus,10,FALSE,2000
Uperoleia russelli,10,FALSE,2000
Cyclorana cultripes,9,FALSE,2000
Crinia flindersensis,8,FALSE,2000
Cyclorana alboguttata,8,FALSE,2000
Litoria meiriana,8,FALSE,2000
Neobatrachus wilsmorei,8,FALSE,2000
Uperoleia littlejohni,8,FALSE,2000
Cyclorana longipes,7,FALSE,2000
Mixophyes schevilli,7,FALSE,2000
Neobatrachus aquilonius,7,FALSE,2000
Litoria cavernicola,6,FALSE,2000
Notaden nichollsi,5,FALSE,2000
Uperoleia mjobergii,5,FALSE,2000
Limnodynastes lignarius,4,FALSE,2000
Litoria electrica,4,FALSE,2000
Litoria gilleni,4,FALSE,2000
Arenophryne xiphorhyncha,3,FALSE,2000
Crinia riparia,3,FALSE,2000
Cyclorana maculosa,3,FALSE,2000
Cyclorana platycephala,3,FALSE,2000
Litoria aurifera,3,FALSE,2000
Litoria splendida,3,FALSE,2000
Heleioporus inornatus,2,FALSE,2000
Litoria staccato,2,FALSE,2000
Cyclorana brevipes,1,FALSE,2000
Cyclorana occidentalis,1,FALSE,2000
Litoria eucnemis,1,FALSE,2000
Neobatrachus albipes,1,FALSE,2000
Neobatrachus pelobatoides,1,FALSE,2000
Notaden melanoscaphus,1,FALSE,2000
Uperoleia trachyderma,1,FALSE,2000
Assa darlingtoni,0,FALSE,2000
Cophixalus aenigma,0,FALSE,2000
Cophixalus bombiens,0,FALSE,2000
Cophixalus exiguus,0,FALSE,2000
Cophixalus hinchinbrookensis,0,FALSE,2000
Cophixalus infacetus,0,FALSE,2000
Cophixalus kulakula,0,FALSE,2000
Cophixalus saxatilis,0,FALSE,2000
Crinia sloanei,0,FALSE,2000
Cyclorana cryptotis,0,FALSE,2000
Cyclorana manya,0,FALSE,2000
Cyclorana vagitus,0,FALSE,2000
Cyclorana verrucosa,0,FALSE,2000
Heleioporus australiacus,0,FALSE,2000
Limnodynastes depressus,0,FALSE,2000
Limnodynastes terraereginae,0,FALSE,2000
Litoria aurea,0,FALSE,2000
Litoria booroolongensis,0,FALSE,2000
Litoria brevipalmata,0,FALSE,2000
Litoria burrowsae,0,FALSE,2000
Litoria cooloolensis,0,FALSE,2000
Litoria corbeni,0,FALSE,2000
Litoria daviesae,0,FALSE,2000
Litoria dayi,0,FALSE,2000
Litoria littlejohni,0,FALSE,2000
Litoria nannotis,0,FALSE,2000
Litoria olongburensis,0,FALSE,2000
Litoria personata,0,FALSE,2000
Litoria raniformis,0,FALSE,2000
Litoria rheocola,0,FALSE,2000
Litoria subglandulosa,0,FALSE,2000
Litoria watsoni,0,FALSE,2000
Mixophyes australis,0,FALSE,2000
Mixophyes balbus,0,FALSE,2000
Mixophyes fleayi,0,FALSE,2000
Mixophyes iteratus,0,FALSE,2000
Neobatrachus fulvus,0,FALSE,2000
Notaden weigeli,0,FALSE,2000
Philoria knowlesi,0,FALSE,2000
Philoria kundagungan,0,FALSE,2000
Philoria loveridgei,0,FALSE,2000
Philoria pughi,0,FALSE,2000
Philoria richmondensis,0,FALSE,2000
Philoria sphagnicola,0,FALSE,2000
Pseudophryne bibronii,0,FALSE,2000
Pseudophryne dendyi,0,FALSE,2000
Pseudophryne douglasi,0,FALSE,2000
Pseudophryne major,0,FALSE,2000
Pseudophryne robinsoni,0,FALSE,2000
Spicospina flammocaerulea,0,FALSE,2000
Taudactylus liemi,0,FALSE,2000
Uperoleia arenicola,0,FALSE,2000
Uperoleia aspera,0,FALSE,2000
Uperoleia daviesae,0,FALSE,2000
Uperoleia glandulosa,0,FALSE,2000
Uperoleia mahonyi,0,FALSE,2000
Uperoleia martini,0,FALSE,2000
Uperoleia micra,0,FALSE,2000
Uperoleia minima,0,FALSE,2000
Uperoleia stridera,0,FALSE,2000
