scientificName,clean_single_species_events,selected,epbc_listed,epbc_category,epbc_match_status,epbc_source_scientific_name,epbc_source_current_name
Crinia signifera,87536,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes peronii,45042,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria fallax,17485,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria peronii,14867,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes tasmaniensis,12669,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria caerulea,12397,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria ewingii,9345,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes dumerilii,7720,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia glauerti,7179,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Adelotus brevis,5489,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria quiritatus,4579,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria pyrina,4566,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria gracilenta,4393,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia parinsignifera,3917,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria moorei,3579,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria verreauxii,2334,TRUE,NA,NA,unresolved_listed_subspecies_only,NA,NA
Crinia georgiana,2155,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria infrafrenata,2154,TRUE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria adelaidensis,1980,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Heleioporus eyrei,1970,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria rubella,1866,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne australis,1699,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes dorsalis,1674,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia insignifera,1624,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne coriacea,1504,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria phyllochroa,1487,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria dentata,1423,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia tinnula,1291,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Mixophyes fasciolatus,1260,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria latopalmata,1251,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria ridibunda,1180,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Geocrinia leai,1124,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Rhinella marina,1108,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes convexiusculus,1081,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria nudidigitus,1077,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria chloris,964,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria nasuta,813,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Geocrinia victoriana,807,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria xanthomera,771,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne raveni,751,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria balatus,728,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Platyplectrum ornatum,714,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia tasmaniensis,674,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia pseudinsignifera,667,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria calliscelis,637,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria tyleri,620,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria paraewingi,505,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes grayi,461,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria inermis,449,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia laevigata,428,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia fusca,423,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Papurana daemeli,411,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne guentheri,376,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes salmini,375,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes fletcheri,359,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Geocrinia sparsiflora,341,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cophixalus ornatus,337,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia remota,307,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Mixophyes coggeri,303,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria spaldingi,288,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria bicolor,277,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cophixalus australis,268,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria barringtonensis,238,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria rothii,235,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia deserticola,210,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria jungguy,198,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus sudellae,198,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria larisonans,195,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Austrochaperina pluvialis,182,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Geocrinia laevis,181,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria pearsoniana,178,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Austrochaperina robusta,166,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria revelata,161,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Metacrinia nichollsi,145,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia rugosa,135,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes interioris,119,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne semimarmorata,113,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria jervisiensis,112,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria freycineti,107,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria wilcoxii,107,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Paracrinia haswelli,106,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria sibilus,104,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana australis,103,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Austrochaperina fryi,101,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia bilingua,101,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia altissima,89,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia saxatilis,87,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia crassa,81,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria serrata,79,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Heleioporus albopunctatus,76,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria cyclorhyncha,62,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Mixophyes carbinensis,57,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Myobatrachus gouldii,53,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana maini,51,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria nigrofrenata,48,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia subinsignifera,46,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Austrochaperina gracilipes,44,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus pictus,40,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus kunapalari,39,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes superciliaris,34,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia tyleri,31,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria citropa,30,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Platyplectrum spenceri,30,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Lechriodus fletcheri,29,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne occidentalis,29,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Austrochaperina adelphe,28,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia nimbus,26,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Anstisia rosea,25,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Heleioporus barycragus,25,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria lesueuri,24,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria microbelos,24,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria pallida,23,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana novaehollandiae,22,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria coplandi,22,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria watjulumensis,20,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia lithomoda,20,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia mimula,19,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia borealis,16,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia talpa,14,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria tornieri,13,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
