dataset,n_species,events,percent_events
raw,1,301378,55.57536876229746
raw,2,130252,24.01901576102691
raw,3,60925,11.234825839454016
raw,4,29652,5.467953316232918
raw,5,12955,2.3889564013151707
raw,6,4816,0.8880906235996806
raw,7,1608,0.2965219523979
raw,8,485,0.0894360366374263
raw,9,145,0.02673860889160168
raw,10,45,0.008298188966359142
raw,11,20,0.0036880839850485076
raw,12,5,9.220209962621269e-4
raw,13,1,1.8440419925242537e-4
clean,1,291103,56.044503998737035
clean,2,124678,24.003588659527853
clean,3,57444,11.059386154397071
clean,4,27586,5.310985071638424
clean,5,11983,2.307022914284174
clean,6,4499,0.8661684128652674
clean,7,1480,0.2849364861170473
clean,8,450,0.08663609375180492
clean,9,132,0.02541325416719611
clean,10,38,0.007315936805707971
clean,11,16,0.0030803944445086193
clean,12,4,7.700986111271548e-4
clean,13,1,1.925246527817887e-4
primary,1,247406,100
multispecies,2,115818,54.2028782028782
multispecies,3,54482,25.497601497601497
multispecies,4,26211,12.266760266760267
multispecies,5,11158,5.221949221949222
multispecies,6,4056,1.8982098982098983
multispecies,7,1346,0.62992862992863
multispecies,8,418,0.1956241956241956
multispecies,9,127,0.05943605943605944
multispecies,10,38,0.017784017784017784
multispecies,11,16,0.007488007488007488
multispecies,12,4,0.001872001872001872
multispecies,13,1,4.68000468000468e-4
