scientificName,raw_events,raw_occurrence_rows
Adelotus brevis,18614,18614
Anstisia lutea,16,16
Anstisia rosea,65,65
Arenophryne xiphorhyncha,3,3
Assa darlingtoni,498,498
Austrochaperina adelphe,51,51
Austrochaperina fryi,320,320
Austrochaperina gracilipes,128,128
Austrochaperina pluvialis,830,830
Austrochaperina robusta,461,461
Cophixalus aenigma,211,211
Cophixalus australis,552,552
Cophixalus bombiens,19,19
Cophixalus exiguus,2,2
Cophixalus hinchinbrookensis,6,6
Cophixalus infacetus,107,107
Cophixalus kulakula,4,4
Cophixalus ornatus,981,981
Cophixalus saxatilis,12,12
Crinia bilingua,283,283
Crinia deserticola,1239,1239
Crinia flindersensis,10,10
Crinia georgiana,9261,9261
Crinia glauerti,19233,19233
Crinia insignifera,4184,4184
Crinia nimbus,26,26
Crinia parinsignifera,35574,35574
Crinia pseudinsignifera,1939,1939
Crinia remota,2879,2879
Crinia riparia,3,3
Crinia signifera,183602,183602
Crinia sloanei,2654,2654
Crinia subinsignifera,369,369
Crinia tasmaniensis,1067,1067
Crinia tinnula,2466,2466
Cyclorana alboguttata,749,749
Cyclorana australis,2563,2563
Cyclorana brevipes,372,372
Cyclorana cryptotis,23,23
Cyclorana cultripes,300,300
Cyclorana longipes,463,463
Cyclorana maculosa,38,38
Cyclorana maini,222,222
Cyclorana manya,20,20
Cyclorana novaehollandiae,715,715
Cyclorana occidentalis,7,7
Cyclorana platycephala,252,252
Cyclorana vagitus,1,1
Cyclorana verrucosa,126,126
Geocrinia laevis,252,252
Geocrinia leai,2796,2796
Geocrinia sparsiflora,427,427
Geocrinia victoriana,1160,1160
Heleioporus albopunctatus,185,185
Heleioporus australiacus,137,137
Heleioporus barycragus,55,55
Heleioporus eyrei,2764,2764
Heleioporus inornatus,13,13
Heleioporus psammophilus,26,26
Lechriodus fletcheri,73,73
Limnodynastes convexiusculus,4767,4767
Limnodynastes depressus,4,4
Limnodynastes dorsalis,6623,6623
Limnodynastes dumerilii,33096,33096
Limnodynastes fletcheri,2512,2512
Limnodynastes grayi,4934,4934
Limnodynastes interioris,692,692
Limnodynastes lignarius,20,20
Limnodynastes peronii,111212,111212
Limnodynastes salmini,1732,1732
Limnodynastes superciliaris,333,333
Limnodynastes tasmaniensis,62347,62347
Limnodynastes terraereginae,15,15
Litoria adelaidensis,11269,11269
Litoria aurea,299,299
Litoria aurifera,7,7
Litoria balatus,2570,2570
Litoria barringtonensis,1210,1210
Litoria bella,42,42
Litoria bicolor,4110,4110
Litoria booroolongensis,12,12
Litoria brevipalmata,361,361
Litoria burrowsae,11,11
Litoria caerulea,28749,28749
Litoria calliscelis,1762,1762
Litoria cavernicola,14,14
Litoria chloris,3042,3042
Litoria citropa,321,321
Litoria cooloolensis,278,278
Litoria coplandi,42,42
Litoria corbeni,8,8
Litoria cyclorhyncha,154,154
Litoria daviesae,72,72
Litoria dayi,40,40
Litoria dentata,4848,4848
Litoria electrica,96,96
Litoria eucnemis,4,4
Litoria ewingii,29742,29742
Litoria fallax,68399,68399
Litoria freycineti,415,415
Litoria gilleni,13,13
Litoria gracilenta,16835,16835
Litoria inermis,3728,3728
Litoria infrafrenata,3690,3690
Litoria jervisiensis,854,854
Litoria jungguy,366,366
Litoria larisonans,241,241
Litoria latopalmata,13116,13116
Litoria lesueuri,192,192
Litoria littlejohni,53,53
Litoria meiriana,15,15
Litoria microbelos,275,275
Litoria moorei,7751,7751
Litoria nannotis,1,1
Litoria nasuta,6369,6369
Litoria nigrofrenata,308,308
Litoria nudidigitus,2576,2576
Litoria olongburensis,361,361
Litoria pallida,627,627
Litoria paraewingi,2592,2592
Litoria pearsoniana,414,414
Litoria peronii,66845,66845
Litoria personata,2,2
Litoria phyllochroa,5627,5627
Litoria pyrina,15748,15748
Litoria quiritatus,8908,8908
Litoria raniformis,1156,1156
Litoria revelata,1197,1197
Litoria rheocola,278,278
Litoria ridibunda,6175,6175
Litoria rothii,2174,2174
Litoria rubella,7371,7371
Litoria serrata,301,301
Litoria sibilus,152,152
Litoria spaldingi,867,867
Litoria splendida,13,13
Litoria staccato,2,2
Litoria subglandulosa,46,46
Litoria tornieri,979,979
Litoria tyleri,15346,15346
Litoria verreauxii,24573,24573
Litoria watjulumensis,64,64
Litoria watsoni,39,39
Litoria wilcoxii,1058,1058
Litoria xanthomera,1911,1911
Metacrinia nichollsi,158,158
Mixophyes australis,65,65
Mixophyes balbus,108,108
Mixophyes carbinensis,136,136
Mixophyes coggeri,898,898
Mixophyes fasciolatus,7535,7535
Mixophyes fleayi,69,69
Mixophyes iteratus,698,698
Mixophyes schevilli,20,20
Myobatrachus gouldii,58,58
Neobatrachus albipes,17,17
Neobatrachus aquilonius,19,19
Neobatrachus fulvus,13,13
Neobatrachus kunapalari,88,88
Neobatrachus pelobatoides,11,11
Neobatrachus pictus,145,145
Neobatrachus sudellae,1811,1811
Neobatrachus sutor,41,41
Neobatrachus wilsmorei,19,19
Notaden bennettii,220,220
Notaden melanoscaphus,395,395
Notaden nichollsi,84,84
Notaden weigeli,7,7
Papurana daemeli,692,692
Paracrinia haswelli,1548,1548
Philoria knowlesi,1,1
Philoria kundagungan,39,39
Philoria loveridgei,159,159
Philoria pughi,26,26
Philoria richmondensis,5,5
Philoria sphagnicola,72,72
Platyplectrum ornatum,6475,6475
Platyplectrum spenceri,87,87
Pseudophryne australis,2445,2445
Pseudophryne bibronii,1663,1663
Pseudophryne coriacea,2811,2811
Pseudophryne dendyi,185,185
Pseudophryne douglasi,14,14
Pseudophryne guentheri,859,859
Pseudophryne major,577,577
Pseudophryne occidentalis,42,42
Pseudophryne raveni,1355,1355
Pseudophryne robinsoni,9,9
Pseudophryne semimarmorata,199,199
Rhinella marina,8219,8219
Spicospina flammocaerulea,7,7
Taudactylus liemi,9,9
Uperoleia altissima,943,943
Uperoleia arenicola,1,1
Uperoleia aspera,50,50
Uperoleia borealis,82,82
Uperoleia crassa,1296,1296
Uperoleia daviesae,202,202
Uperoleia fusca,8912,8912
Uperoleia glandulosa,3,3
Uperoleia laevigata,9218,9218
Uperoleia lithomoda,432,432
Uperoleia littlejohni,59,59
