"source_layer","n_unique_coordinates","missing_coordinates"
"BIO1",371054,6022
"BIO2",371054,6022
"BIO3",371054,6022
"BIO4",371054,6022
"BIO5",371054,6022
"BIO6",371054,6022
"BIO7",371054,6022
"BIO8",371054,6022
"BIO9",371054,6022
"BIO10",371054,6022
"BIO11",371054,6022
"BIO12",371054,6022
"BIO13",371054,6022
"BIO14",371054,6022
"BIO15",371054,6022
"BIO16",371054,6022
"BIO17",371054,6022
"BIO18",371054,6022
"BIO19",371054,6022
"elevation",371054,6022
"tavg_month_1",371054,6022
"tavg_month_2",371054,6022
"tavg_month_3",371054,6022
"tavg_month_4",371054,6022
"tavg_month_5",371054,6022
"tavg_month_6",371054,6022
"tavg_month_7",371054,6022
"tavg_month_8",371054,6022
"tavg_month_9",371054,6022
"tavg_month_10",371054,6022
"tavg_month_11",371054,6022
"tavg_month_12",371054,6022
"prec_month_1",371054,6022
"prec_month_2",371054,6022
"prec_month_3",371054,6022
"prec_month_4",371054,6022
"prec_month_5",371054,6022
"prec_month_6",371054,6022
"prec_month_7",371054,6022
"prec_month_8",371054,6022
"prec_month_9",371054,6022
"prec_month_10",371054,6022
"prec_month_11",371054,6022
"prec_month_12",371054,6022
